130V,Mixed Technology,1,SLIC,Surface Mount,DO-214AA* SMB,DO-214AA,
15V,Mixed Technology,2,SLIC,Surface Mount,8-SOIC (0.154"* 3.90mm Width),8-SOIC,
11V,Mixed Technology,2,General Purpose,Surface Mount,SOT-23-6,SOT-23-6,
7V,Mixed Technology,1,USB,Surface Mount,SOT-23-6,SOT-23-6,
-,Mixed Technology,4,General Purpose,Surface Mount,20-TSSOP (0.173"* 4.40mm Width),20-TSSOP,
-,Mixed Technology,2,General Purpose,Surface Mount,8-SOIC (0.154"* 3.90mm Width),8-SOIC,
-,Mixed Technology,2,General Purpose,Through Hole,8-DIP (0.300"* 7.62mm),8-PDIP,
-200/+205V,Mixed Technology,6,General Purpose,Surface Mount,8-SOIC (0.154"* 3.90mm Width),8-SOIC,
Voltage - Clamping 1200V (1.2kV),Technology Mixed Technology,Number of Circuits 2,Applications High Voltage,Mounting Type PCB* Through Hole,Package / Case Radial,
7V,Mixed Technology,1,USB,Surface Mount,SOT-23-6,SOT-23-6,
7V,Mixed Technology,1,USB,Surface Mount,8-TSSOP (0.173"* 4.40mm Width),8-TSSOP,
-,Mixed Technology,14,General Purpose,Surface Mount,16-SOIC (0.154"* 3.90mm Width),16-SOIC,
-,Mixed Technology,4,General Purpose,Surface Mount,SOT-23-6,SOT-23-6,
Voltage - Clamping -,Technology Mixed Technology,Number of Circuits 14,Applications General Purpose,Mounting Type Surface Mount,Package / Case 16-SOIC (0.154"* 3.90mm Width),
