-,-,-,-,30A,150mA,1,-,Surface Mount,8-SOIC (0.154"* 3.90mm Width),
350V,275V,4V,250A,80A,150mA,1,45pF,Surface Mount,DO-214AA* SMB,
350V,275V,4V,400A,100A,150mA,1,70pF,Surface Mount,DO-214AA* SMB,
350V,275V,4V,400A,100A,150mA,1,70pF,Surface Mount,DO-214AA* SMB,
350V,275V,3.5V,250A,50A,150mA,1,60pF,Surface Mount,DO-214AA* SMB,
290V,180V,-,-,30A,150mA,3,80pF,Surface Mount,8-SOIC (0.154"* 3.90mm Width),
40V,25V,3V,400A,100A,50mA,1,61pF,Surface Mount,DO-214AA* SMB,
350V,275V,3V,300A,100A,150mA,1,62pF,Surface Mount,DO-214AA* SMB,
350V,275V,3V,250A,80A,150mA,1,52pF,Surface Mount,DO-214AA* SMB,
64V,170V,-,-,30A,150mA,2,100pF,Surface Mount,8-SOIC (0.154"* 3.90mm Width),
-,175V,-,-,30A,150mA,2,100pF,Surface Mount,8-SOIC (0.154"* 3.90mm Width),
160V,-,-,-,30A,150mA,1,-,Surface Mount,8-SOIC (0.154"* 3.90mm Width),
38V,28V,-,100A,30A,30mA,3,16pF,Surface Mount,8-SOIC (0.154"* 3.90mm Width),
Voltage - Breakover 267V,Voltage - Off State 200V,Current - Peak Pulse (8/20µs) 150A,Current - Peak Pulse (10/1000µs) 50A,Current - Hold (Ih) 150mA,Number of Elements 1,Capacitance 25pF,Mounting Type Surface Mount,
133V,100V,-,150A,50A,150mA,1,35pF,Surface Mount,DO-214AA* SMB,
82V,62V,-,150A,50A,150mA,1,40pF,Surface Mount,DO-214AA* SMB,
Voltage - Breakover 210V,Voltage - Off State 150V,Current - Peak Pulse (10/1000µs) 30A,Current - Hold (Ih) 150mA,Number of Elements 3,Capacitance 80pF,Mounting Type Surface Mount,
Voltage - Breakover 180V,Voltage - Off State 145V,Voltage - On State 3V,Current - Peak Pulse (8/20µs) 120A,Current - Peak Pulse (10/1000µs) 35A,Current - Hold (Ih) 150mA,Number of Elements 3,Capacitance 35pF,Mounting Type Surface Mount,
