USB FIFO,-,Surface Mount,32-LQFP,32-LQFP (7x7),
Silicon Serial Number,PCB* Network Node* Equipment Identification/Registration,Surface Mount,TO-261-4* TO-261AA,SOT-223-3,
ECG Front End,Heart Rate Monitoring,Surface Mount,20-UFBGA* WLCSP,20-WLCSP,
10/100 Integrated Switch,Port Switch/Network Interface,Surface Mount,128-BFQFP,128-PQFP (14x20),
USB FIFO,-,Surface Mount,32-LQFP,32-LQFP (7x7),
Type Code Hopping Encoder,Applications Remote Secure Access* Keyless Entry,Mounting Type Surface Mount,Package / Case 8-SOIC (0.154"* 3.90mm Width),Supplier Device Package 8-SOIC,
Type Code Hopping Decoder,Applications Remote Secure Access* Keyless Entry,Mounting Type Through Hole,Package / Case 8-DIP (0.300"* 7.62mm),Supplier Device Package 8-PDIP,
Type Code Hopping Encoder,Applications Remote Secure Access* Keyless Entry,Mounting Type Surface Mount,Package / Case 8-SOIC (0.154"* 3.90mm Width),Supplier Device Package 8-SOIC,
Type Code Hopping Decoder,Applications Remote Secure Access* Keyless Entry,Mounting Type Through Hole,Package / Case 8-DIP (0.300"* 7.62mm),Supplier Device Package 8-PDIP,
ECG Front End,Heart Rate Monitoring,Surface Mount,20-WFQFN Exposed Pad* CSP,20-LFCSP-WQ (4x4),
Type 10/100 Integrated Switch,Applications Port Switch/Network Interface,Mounting Type Surface Mount,Package / Case 128-BFQFP,Supplier Device Package 128-PQFP (14x20),
Type 10/100 Integrated Switch,Applications Port Switch/Network Interface,Mounting Type Surface Mount,Package / Case 128-BFQFP,Supplier Device Package 128-PQFP (14x20),
Type 10/100 Integrated Switch,Applications Port Switch/Network Interface,Mounting Type Surface Mount,Package / Case 128-BFQFP,Supplier Device Package 128-PQFP (14x20),
Type 10/100 Integrated Switch,Applications Port Switch/Network Interface,Mounting Type Surface Mount,Package / Case 128-BFQFP,Supplier Device Package 128-PQFP (14x20),
Type 10/100 Integrated Switch,Applications Port Switch/Network Interface,Mounting Type Surface Mount,Package / Case 128-BFQFP,Supplier Device Package 128-PQFP (14x20),
Mounting Type Surface Mount,Package / Case 9-SIP Exposed Tab* Formed Leads,Supplier Device Package 9-PDBS-EP,
