500 mOhms,±1%,5W,Wirewound,Flame Proof* Safety,±90ppm/°C,-65°C ~ 275°C,Radial,Radial Lead,0.512" L x 0.354" W (13.00mm x 9.00mm),1.003" (25.48mm),2,-,
6.2 kOhms,±5%,2W,Metal Oxide Film,Flame Retardant Coating* Safety,±200ppm/°C,-55°C ~ 235°C,Axial,Axial,0.217" Dia x 0.591" L (5.50mm x 15.00mm),-,2,-,
5 kOhms,±1%,25W,Thick Film,Moisture Resistant* Non-Inductive,-20/ +50ppm/°C,-55°C ~ 150°C,TO-126-2,TO-126,0.320" L x 0.110" W (8.12mm x 2.79mm),0.550" (13.97mm),2,-,
2.2 kOhms,±5%,2W,Metal Oxide Film,Flame Proof* Safety,±350ppm/°C,-55°C ~ 235°C,Axial,Axial,0.157" Dia x 0.472" L (4.00mm x 12.00mm),-,2,-,
510 Ohms,±5%,2W,Metal Oxide Film,Flame Proof* Safety,±350ppm/°C,-55°C ~ 235°C,Axial,Axial,0.157" Dia x 0.472" L (4.00mm x 12.00mm),-,2,-,
5 kOhms,±1%,25W,Thick Film,Moisture Resistant* Non-Inductive,-20/ +50ppm/°C,-55°C ~ 150°C,TO-126-2,TO-126,0.320" L x 0.110" W (8.12mm x 2.79mm),0.550" (13.97mm),2,-,
162 kOhms,±1%,0.125W* 1/8W,Metal Film,Flame Retardant Coating* Safety,±100ppm/°C,-55°C ~ 155°C,Axial,Axial,0.071" Dia x 0.130" L (1.80mm x 3.30mm),-,2,-,
1 Ohms,±1%,0.6W,Metal Film,-,±50ppm/°C,-55°C ~ 155°C,Axial,-,0.098" Dia x 0.256" L (2.50mm x 6.50mm),-,2,-,
1 MOhms,±5%,0.25W* 1/4W,Metal Film,Automotive AEC-Q200* High Voltage* Pulse Withstanding,±200ppm/°C,-55°C ~ 155°C,Axial,Axial,0.098" Dia x 0.256" L (2.50mm x 6.50mm),-,2,-,
3.3 Ohms,±0.1%,1W,Wirewound,Military* Moisture Resistant,±50ppm/°C,-55°C ~ 250°C,Axial,Axial,0.085" Dia x 0.250" L (2.16mm x 6.35mm),-,2,R (0.01%),
Resistance 19.1 MOhms,Tolerance ±1%,Power (Watts) 3W,Composition Metal Oxide Film,Features Flame Retardant Coating* High Voltage* Safety,Temperature Coefficient ±50ppm/°C,Operating Temperature -55°C ~ 180°C,Package / Case Axial,Supplier Device Package Axial,Size / Dimension 0.310" Dia x 0.800" L (7.87mm x 20.32mm),Height - Seated (Max) -,Number of Terminations 2,
Resistance 360 Ohms,Tolerance ±5%,Power (Watts) 1W,Composition Carbon Film,Features -,Temperature Coefficient -450ppm/°C,Operating Temperature -,Package / Case Axial,Supplier Device Package Axial,Size / Dimension 0.197" Dia x 0.472" L (5.00mm x 12.00mm),Height - Seated (Max) -,Number of Terminations 2,
100 MOhms,±1%,7.5W,Metal Film,High Voltage,±50ppm/°C,-55°C ~ 225°C,Axial,Axial,0.310" Dia x 3.125" L (7.87mm x 79.38mm),-,2,-,
13 kOhms,±5%,2W,Metal Oxide Film,Flame Proof* Safety,±350ppm/°C,-55°C ~ 235°C,Axial,Axial,0.157" Dia x 0.472" L (4.00mm x 12.00mm),-,2,-,
Resistance 560 kOhms,Tolerance ±1%,Power (Watts) 0.4W,Composition Thin Film,Features -,Temperature Coefficient ±50ppm/°C,Operating Temperature -55°C ~ 155°C,Package / Case Axial,Supplier Device Package Axial,Size / Dimension 0.063" Dia x 0.142" L (1.60mm x 3.60mm),Height - Seated (Max) -,Number of Terminations 2,
