https://media.digikey.com/Renders/NXP%20Semi%20Renders/16-SOIC_SOT162-1_tmb.jpg,http://www.nxp.com/documents/data_sheet/PCF8591.pdf,568-1088-2-ND,PCF8591T/2  518,NXP USA Inc.,IC ADC/DAC 8-BIT I2C 16-SOIC,2  000 - Immediate,$1.55540,1  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/28PDIP_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/AD974.pdf,AD974AN-ND,AD974AN,Analog Devices Inc.,IC DAS 16BIT 4CH 200KSPS 28-DIP,0,Obsolete,-,Tube,-,Obsolete
https://media.digikey.com/photos/Texas%20Instr%20Photos/296-48-HTQFP_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/THS8134  A  B.pdf,296-3001-ND,THS8134BCPHP,Texas Instruments,IC 8 BIT 80MSPS DAC VID 48-HTQFP,0,Obsolete,-,Tray,-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/28-TSSOP_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/AD1852.pdf,AD1852JRSZ-ND,AD1852JRSZ,Analog Devices Inc.,IC DAC STEREO 24BIT 5V 28-SSOP,99 - Immediate  376 - Factory Stock,$15.25000,1,Tube  Alternate Packaging,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/28-TSSOP_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/AD1854.pdf,AD1854JRSZ-ND,AD1854JRSZ,Analog Devices Inc.,IC DAC STEREO 96KHZ 5V 28SSOP,0,Obsolete,-,Tube,-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/28-SOIC_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/AD1877.pdf,AD1877JRZ-ND,AD1877JRZ,Analog Devices Inc.,IC ADC STEREO 16BIT 28-SOIC,19 - Immediate,$17.07000,1,Tube  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Analog%20Devices%20Renders/505;ST-48;ST;48_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/AD1953.pdf,AD1953YSTZRLTR-ND,AD1953YSTZRL,Analog Devices Inc.,IC DSP DAC AUDIO3CH/26BIT 48LQFP,0,$9.13920,-,Tape & Reel (TR)  Alternate Packaging,SigmaDSP®,Not For New Designs
https://media.digikey.com/Renders/Analog%20Devices%20Renders/505;ST-48;ST;48_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/AD1974.pdf,AD1974YSTZ-ND,AD1974YSTZ,Analog Devices Inc.,IC ADC 4CH W/ON-CHIP PLL 48LQFP,150 - Immediate,$9.83000,1,Tray  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-32-2;CP;32_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/AD7142.pdf,AD7142ACPZ-500RL7TR-ND,AD7142ACPZ-500RL7,Analog Devices Inc.,IC CAP-TO-DGTL CONV PROG 32LFCSP,500 - Immediate  1  500 - Factory Stock,$2.34060,500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-24-7;CP;24_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/AD7147.pdf,AD7147ACPZ-500RL7TR-ND,AD7147ACPZ-500RL7,Analog Devices Inc.,IC CAP-TO-DGTL CONV PROG 24LFCSP,1  000 - Immediate,$2.19120,500,Tape & Reel (TR)  Alternate Packaging,CapTouch™,Active
https://media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-24-7;CP;24_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/AD7147.pdf,AD7147PACPZ-500R7TR-ND,AD7147PACPZ-500R7,Analog Devices Inc.,IC CAP-TO-DGTL CONV PROG 24LFCSP,29  500 - Factory Stock,$2.19120,500,Tape & Reel (TR)  Alternate Packaging,CapTouch™,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/64-LQFP_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/AD7606_7606-6_7606-4.pdf,AD7606BSTZ-4RLTR-ND,AD7606BSTZ-4RL,Analog Devices Inc.,IC DAS W/ADC 16BIT 64LQFP,1  500 - Immediate  15  000 - Factory Stock,$14.22200,1  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/64-LQFP_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/AD7606_7606-6_7606-4.pdf,AD7606BSTZ-4RLTR-ND,AD7606BSTZ-4RL,Analog Devices Inc.,IC DAS W/ADC 16BIT 64LQFP,1  500 - Immediate  15  000 - Factory Stock,$14.22200,1  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/64-LQFP_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/AD7609.pdf,AD7609BSTZ-ND,AD7609BSTZ,Analog Devices Inc.,IC DAS 18BIT 8CHANNEL 64-LQFP,1  991 - Immediate,$41.15000,1,Tray  Alternate Packaging,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/RU-16_tmb.jpg,http://www.akm.com/akm/en/file/datasheet/AK4430ET.pdf,974-1017-2-ND,AK4430ET,AKM Semiconductor Inc.,IC DAC 24BIT STEREO 16TSSOP,15  000 - Immediate,$0.64400,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Texas%20Instr%20Renders/PAP-64-TQFP-Exp-Pad-Pkg_tmb.jpg,http://www.ti.com/lit/ds/symlink/amc7812.pdf,296-36555-2-ND,AMC7812SPAPR,Texas Instruments,IC ADC/DAC MON/CTRL 64-HTQFP,0  Standard Lead Time 19 Weeks,$12.23999,1  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/10-TFSOP  %2010-MSOP_tmb.jpg,https://d3uzseaevmutz1.cloudfront.net/pubs/proDatasheet/CS4344-45-48_F2.pdf,598-1052-5-ND,CS4345-CZZ,Cirrus Logic Inc.,IC DAC STER 24BIT 192KHZ 10TSSOP,2  975 - Immediate,$3.02000,1,Tube  Alternate Packaging,Popguard®,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/RU-16_tmb.jpg,https://d3uzseaevmutz1.cloudfront.net/pubs/proDatasheet/CS5340_F2.pdf,598-1081-5-ND,CS5340-CZZ,Cirrus Logic Inc.,IC ADC 24BIT SRL 192KHZ 16-TSSOP,760 - Immediate,$7.50000,1,Tube  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Texas%20Instr%20Renders/16-WFQFN%20Exposed%20Pad_tmb.jpg,http://www.ti.com/lit/ds/symlink/dac161p997.pdf,DAC161P997CISQ/NOPBTR-ND,DAC161P997CISQ/NOPB,Texas Instruments,IC DAC 16BIT 4-20MA LOOP 16WQFN,1  000 - Immediate,$2.15600,1  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Texas%20Instr%20Renders/16-WFQFN%20Exposed%20Pad_tmb.jpg,http://www.ti.com/lit/ds/symlink/dac161s997.pdf,296-36425-2-ND,DAC161S997RGHT,Texas Instruments,IC DAC 16BIT SPI/SRL 16WQFN,2  750 - Immediate,$3.27636,250,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Linear%20Tech%20Renders/161;%2005-08-1620;%20SW;%2016%20_tmb.jpg,http://www.linear.com/docs/3526,LTC1293DCSW#PBF-ND,LTC1293DCSW#PBF,Linear Technology/Analog Devices,IC DATA ACQ SYSTEM 12BIT 16-SOIC,581 - Immediate,$17.84000,1,Tube  Alternate Packaging,-,Active
https://media.digikey.com/photos/Maxim%20Photos/175-36-SSOP_tmb.jpg,http://datasheets.maximintegrated.com/en/ds/MAX125-MAX126.pdf,MAX125CEAX+D-ND,MAX125CEAX+D,Maxim Integrated,IC DAS 14BIT 2X4CH 36-SSOP,30 - Immediate  840 - Factory Stock,$28.47000,1,Tube  Alternate Packaging,-,Active
https://media.digikey.com/photos/Maxim%20Photos/175-20-DIP_tmb.jpg,http://datasheets.maximintegrated.com/en/ds/MAX186-MAX188.pdf,MAX186CCPP+-ND,MAX186CCPP+,Maxim Integrated,IC ADC 12BIT SERIAL 20-DIP,69 - Immediate  1  674 - Factory Stock,$24.67000,1,Tube,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/28-SOIC_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/pcm1710u.pdf,PCM1710U/1K-ND,PCM1710U/1K,Texas Instruments,IC DUAL 16/20BIT AUD DAC 28SOIC,0,Obsolete,-,Tape & Reel (TR),SoundPlus™,Obsolete
