10,2,35ns (Typ),Current - Unbuffered,Yes,Parallel,External   Internal,3 V ~ 5.5 V,2.7 V ~ 5.5 V,±0.7   ±0.5,Current Source,-40°C ~ 85°C,28-SSOP (0.209"   5.30mm Width),28-SSOP
12,1,5µs,Voltage - Buffered,No,Parallel,External,±11.4 V ~ 15.75 V,-,±0.75 (Max)   ±1 (Max),R-2R,-40°C ~ 85°C,24-DIP (0.300"   7.62mm),24-PDIP
8,2,400ns,Current - Unbuffered,No,Parallel,External,5 V ~ 15 V,5 V ~ 15 V,±1 (Max)   ±1 (Max),R-2R,-40°C ~ 85°C,20-DIP (0.300"   7.62mm),20-PDIP
12,1,1µs,Current - Unbuffered,No,Parallel,External,5 V ~ 15 V,5 V ~ 15 V,±0.5 (Max)   ±1 (Max),R-2R,0°C ~ 70°C,20-DIP (0.300"   7.62mm),20-PDIP
8,1,150µs,Current - Unbuffered,Yes,Parallel,External,±4.5 V ~ 18 V,-,-,Multiplying DAC,0°C ~ 70°C,16-DIP (0.300"   7.62mm),16-PDIP
8,1,150ns (Typ),Current - Unbuffered,No,Parallel,External,±4.5 V ~ 18 V,-,-,Multiplying DAC,0°C ~ 75°C,16-DIP (0.300"   7.62mm),16-PDIP
12,1,7µs (Typ),Voltage - Buffered,No,SPI,Internal,5V,5V,±0.5   ±0.5,R-2R,-40°C ~ 85°C,8-DIP (0.300"   7.62mm),8-PDIP
8,3,15µs (Typ),Voltage - Buffered,No,Parallel,Internal,5V,5V,±0.5   ±0.25,String DAC,0°C ~ 70°C,44-QFP,44-PQFP (10x10)
24,8,-,Voltage - Unbuffered,Yes,I²S   SPI,Internal,3 V ~ 3.6 V,3 V ~ 3.6 V,-,Sigma-Delta,-40°C ~ 105°C,64-LQFP,64-LQFP (10x10)
16,1,3ms,Voltage or Current - Buffered,No,SPI,External   Internal,12 V ~ 32 V,12 V ~ 32 V,-,Sigma-Delta,-40°C ~ 85°C,24-SOIC (0.295"   7.50mm Width),24-SOIC
12,2,13µs,Voltage - Buffered,No,SPI   DSP,External,5V,5V,±0.05   ±0.2,R-2R,-40°C ~ 125°C,14-TSSOP (0.173"   4.40mm Width),14-TSSOP
