https://media.digikey.com/Renders/Vishay%20Semi%20Renders/DO-204AH  %20DO-35_tmb.jpg,http://www.vishay.com/docs/85527/ba479g.pdf,BA479G-GITR-ND,BA479G-TR,Vishay Semiconductor Diodes Division,DIODE RF PIN 30V 50MA DO35,40  000 - Immediate,$0.12758,10  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Avago%20PDFs/HSMP-381x  481x.pdf,516-1902-ND,HSMP-3810-BLKG,Broadcom Limited,DIODE PIN ATTENUATOR SGL SOT-23,0,Obsolete,-,Cut Strip,-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Avago%20PDFs/HSMP-381x  481x.pdf,516-1798-2-ND,HSMP-3810-TR1G,Broadcom Limited,DIODE PIN ATTENUATOR SGL SOT-23,0,Obsolete,-,Tape & Reel (TR),-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Avago%20PDFs/HSMP-381x  481x.pdf,516-1800-2-ND,HSMP-3814-TR1G,Broadcom Limited,DIODE PIN ATTENUATOR 100V SOT-23,0,$0.42986,-,Tape & Reel (TR),-,Obsolete
https://media.digikey.com/Renders/Avago%20Tech%20Renders/SC-70  %20SOT-323_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Avago%20PDFs/HSMP-381x  481x.pdf,516-2498-2-ND,HSMP-381F-TR1G,Broadcom Limited,DIODE PIN ATTENUATOR CC SOT323,0,Obsolete,-,Tape & Reel (TR)  Alternate Packaging,-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG_tmb.jpg,https://docs.broadcom.com/docs/AV02-1395EN,HSMP-3822-TR2G-ND,HSMP-3822-TR2G,Broadcom Limited,DIODE PIN SWITCH 50V SOT-23,0,Obsolete,-,Tape & Reel (TR),-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Avago%20PDFs/HSMP-386x.pdf,HSMP-3862-TR1-ND,HSMP-3862-TR1,Broadcom Limited,DIODE PIN GP 50V 1A SOT-23,0,Obsolete,-,Tape & Reel (TR),-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT25_tmb.jpg,https://docs.broadcom.com/docs/AV02-1962EN,516-1907-ND,HSMP-3866-BLKG,Broadcom Limited,DIODE PIN ATTEN QUAD PI SOT-25,0,Obsolete,-,Bulk,-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG_tmb.jpg,https://docs.broadcom.com/docs/AV02-1395EN,516-1909-ND,HSMP-4820-BLKG,Broadcom Limited,DIODE PIN RF PWR LIMITER SOT23-3,0,Obsolete,-,Cut Strip,-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Avago%20PDFs/HSMP-389x-489x.pdf,HSMP-4890-BLKG-ND,HSMP-4890-BLKG,Broadcom Limited,DIODE PIN SW LOW INDUCT SOT-23,0,Obsolete,-,Bulk,-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG_tmb.jpg,https://docs.broadcom.com/docs/AV02-0533EN,516-1809-2-ND,HSMS-2800-TR1G,Broadcom Limited,DIODE SCHOTTKY RF SGL 70V SOT-23,0,Obsolete,-,Tape & Reel (TR)  Alternate Packaging,-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG_tmb.jpg,https://docs.broadcom.com/docs/AV02-0533EN,516-1913-ND,HSMS-2802-BLKG,Broadcom Limited,DIODE SCHOTTKY RF SER 70V SOT-23,447 - Immediate,$0.89000,-,Cut Strip  Alternate Packaging,-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG_tmb.jpg,https://docs.broadcom.com/docs/AV02-0533EN,516-1811-2-ND,HSMS-2804-TR1G,Broadcom Limited,DIODE SCHOTTKY RF CC 70V SOT-23,0,Obsolete,-,Tape & Reel (TR)  Alternate Packaging,-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG_tmb.jpg,https://docs.broadcom.com/docs/AV02-1367EN,HSMS-2812-TR1-ND,HSMS-2812-TR1,Broadcom Limited,DIODE SCHOTTKY GP 20V 1A SOT-23,0,Obsolete,-,Tape & Reel (TR),-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG_tmb.jpg,https://docs.broadcom.com/docs/AV02-1320EN,HSMS-2820-TR1-ND,HSMS-2820-TR1,Broadcom Limited,DIODE SCHOTTKY RF 15V 1A SOT-23,0,Obsolete,-,Tape & Reel (TR),-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG_tmb.jpg,https://docs.broadcom.com/docs/AV02-1320EN,516-1817-2-ND,HSMS-2820-TR1G,Broadcom Limited,DIODE SCHOTTKY RF SGL 15V SOT-23,0,Obsolete,-,Tape & Reel (TR),-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG_tmb.jpg,https://docs.broadcom.com/docs/AV02-1320EN,516-1923-ND,HSMS-2822-BLKG,Broadcom Limited,DIODE SCHOTTKY RF SER 15V SOT-23,325 - Immediate,$0.97000,-,Cut Strip,-,Obsolete
