1 Pair Common Cathode,Standard,75V,150mA,1.25V @ 150mA,Small Signal =< 200mA (Io)   Any Speed,4ns,2.5µA @ 75V,-65°C ~ 150°C,Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3
1 Pair Common Cathode,Standard,200V,8A,1.15V @ 20A,Fast Recovery =< 500ns   > 200mA (Io),35ns,50µA @ 200V,-65°C ~ 175°C,Through Hole,TO-220-3,TO-220AB
1 Pair Common Cathode,Standard,80V,100mA (DC),1.2V @ 100mA,Small Signal =< 200mA (Io)   Any Speed,3ns,100nA @ 75V,150°C (Max),Surface Mount,TO-236-3   SC-59   SOT-23-3,SC-59
1 Pair Common Cathode,Schottky,30V,100mA,550mV @ 100mA,Small Signal =< 200mA (Io)   Any Speed,2ns,15µA @ 30V,125°C (Max),Surface Mount,TO-236-3   SC-59   SOT-23-3,Mini3-G1
2 Independent,Schottky,30V,200mA,500mV @ 200mA,Small Signal =< 200mA (Io)   Any Speed,-,30µA @ 10V,125°C (Max),Surface Mount,SC-82A   SOT-343,UMD4
3 Independent,Schottky,30V,100mA,530mV @ 100mA,Small Signal =< 200mA (Io)   Any Speed,-,1µA @ 10V,125°C (Max),Surface Mount,6-TSSOP   SC-88   SOT-363,UMD6
1 Pair Common Cathode,Schottky,45V,20A,760mV @ 20A,Fast Recovery =< 500ns   > 200mA (Io),-,200µA @ 45V,175°C (Max),Through Hole,TO-247-3,TO-247-3
1 Pair Common Cathode,Standard,500V,16A,1.5V @ 8A,Fast Recovery =< 500ns   > 200mA (Io),50ns,10µA @ 500V,-55°C ~ 150°C,Through Hole,TO-220-3,TO-220AB
1 Pair Common Cathode,Standard,600V,16A,1.5V @ 8A,Fast Recovery =< 500ns   > 200mA (Io),50ns,10µA @ 600V,-55°C ~ 150°C,Through Hole,TO-220-3,TO-220AB
1 Pair Series Connection,Standard,240V,225mA (DC),1V @ 100mA,Fast Recovery =< 500ns   > 200mA (Io),50ns,100nA @ 240V,150°C (Max),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23
1 Pair Common Cathode,Standard,600V,15A (DC),1.7V @ 15A,Fast Recovery =< 500ns   > 200mA (Io),60ns,10µA @ 600V,-55°C ~ 150°C,Through Hole,TO-247-3,TO-247AC
2 Pair Common Cathode,Standard,80V,100mA,1.2V @ 100mA,Small Signal =< 200mA (Io)   Any Speed,4ns,100nA @ 70V,150°C (Max),Surface Mount,SC-74   SOT-457,6-SMD
1 Pair Series Connection,Schottky,30V,30mA (DC),1V @ 30mA,Small Signal =< 200mA (Io)   Any Speed,1ns,1µA @ 30V,125°C (Max),Surface Mount,TO-236-3   SC-59   SOT-23-3,Mini3-G1
1 Pair Common Cathode,Schottky,45V,30A,760mV @ 30A,Fast Recovery =< 500ns   > 200mA (Io),-,1mA @ 45V,-65°C ~ 150°C,Through Hole,TO-3P-3   SC-65-3,TO-3P
1 Pair Common Cathode,Schottky,45V,15A,760mV @ 30A,Fast Recovery =< 500ns   > 200mA (Io),-,1mA @ 45V,-,Through Hole,TO-247-3,TO-247AC
1 Pair Common Cathode,Schottky,60V,30A,750mV @ 20A,Fast Recovery =< 500ns   > 200mA (Io),-,5mA @ 60V,-65°C ~ 150°C,Through Hole,TO-247-3,TO-247AD (TO-3P)
1 Pair Common Cathode,Schottky,100V,30A,840mV @ 30A,Fast Recovery =< 500ns   > 200mA (Io),-,10µA @ 100V,175°C (Max),Through Hole,TO-220-3,TO-220AB
1 Pair Common Cathode,Schottky,45V,-,700mV @ 10A,Fast Recovery =< 500ns   > 200mA (Io),-,1mA @ 45V,-55°C ~ 150°C,Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,D2PAK
1 Pair Common Cathode,Schottky,35V,5A,470mV @ 5A,Fast Recovery =< 500ns   > 200mA (Io),-,2mA @ 35V,-55°C ~ 150°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,DPAK
1 Pair Common Cathode,Schottky,30V,3A,700mV @ 3A,Fast Recovery =< 500ns   > 200mA (Io),-,100µA @ 30V,-65°C ~ 175°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,DPAK
1 Pair Common Cathode,Standard,100V,200mA,1V @ 200mA,Small Signal =< 200mA (Io)   Any Speed,4ns,50nA @ 50V,150°C (Max),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3
1 Pair Common Anode,Standard,100V,200mA,1V @ 200mA,Small Signal =< 200mA (Io)   Any Speed,4ns,50nA @ 50V,150°C (Max),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3
1 Pair Series Connection,Standard,200V,200mA,1.1V @ 200mA,Small Signal =< 200mA (Io)   Any Speed,-,10nA @ 180V,150°C (Max),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3
2 Pair Series Connection,Standard,300V,225mA (DC),1.25V @ 200mA,Fast Recovery =< 500ns   > 200mA (Io),50ns,100nA @ 240V,-65°C ~ 150°C,Surface Mount,SOT-23-6,SOT-26
1 Pair Series Connection,Standard,300V,225mA (DC),1.25V @ 200mA,Fast Recovery =< 500ns   > 200mA (Io),50ns,100nA @ 240V,-65°C ~ 150°C,Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3
1 Pair Series Connection,Standard,100V,200mA (DC),1.25V @ 150mA,Small Signal =< 200mA (Io)   Any Speed,4ns,500nA @ 100V,150°C (Max),Surface Mount,TO-236-3   SC-59   SOT-23-3,PG-SOT23-3
1 Pair Common Cathode,Standard,100V,200mA (DC),1.1V @ 100mA,Small Signal =< 200mA (Io)   Any Speed,4ns,5µA @ 100V,-55°C ~ 135°C,Through Hole,TO-226-3   TO-92-3 (TO-226AA),TO-92-3
1 Pair Common Anode,Standard,200V,8A,1.2V @ 8A,Fast Recovery =< 500ns   > 200mA (Io),85ns,5µA @ 200V,-65°C ~ 175°C,Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,D2PAK
1 Pair Common Cathode,Standard,200V,3A,1V @ 3A,Fast Recovery =< 500ns   > 200mA (Io),35ns,5µA @ 200V,-65°C ~ 175°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,DPAK
1 Pair Common Cathode,Schottky,20V,500mA,390mV @ 500mA,Fast Recovery =< 500ns   > 200mA (Io),22ns,200µA @ 20V,150°C (Max),Surface Mount,TO-236-3   SC-59   SOT-23-3,TO-236AB (SOT23)
1 Pair Common Cathode,Schottky,20V,500mA,390mV @ 500mA,Fast Recovery =< 500ns   > 200mA (Io),22ns,200µA @ 20V,150°C (Max),Surface Mount,TO-236-3   SC-59   SOT-23-3,TO-236AB (SOT23)
1 Pair Common Cathode,Schottky,40V,16A,550mV @ 8A,Fast Recovery =< 500ns   > 200mA (Io),-,1mA @ 40V,-65°C ~ 125°C,Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,TO-263AB (D²PAK)
1 Pair Common Cathode,Schottky,40V,15A,550mV @ 15A,Fast Recovery =< 500ns   > 200mA (Io),-,1mA @ 40V,-40°C ~ 125°C,Through Hole,TO-3P-3   SC-65-3,TO-3P
1 Pair Common Cathode,Super Barrier,200V,10A,960mV @ 20A,Fast Recovery =< 500ns   > 200mA (Io),30ns,100µA @ 200V,-65°C ~ 175°C,Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,TO-263AB (D²PAK)
1 Pair Common Cathode,Super Barrier,200V,15A,980mV @ 15A,Fast Recovery =< 500ns   > 200mA (Io),30ns,100µA @ 200V,-65°C ~ 175°C,Through Hole,TO-220-3,TO-220AB
2 Independent,Standard,400V,100A (DC),1.24V @ 100A,Fast Recovery =< 500ns   > 200mA (Io),93ns,50µA @ 400V,-,Chassis Mount,SOT-227-4   miniBLOC,SOT-227
1 Pair Common Cathode,Schottky,100V,8A,720mV @ 8A,Fast Recovery =< 500ns   > 200mA (Io),-,550µA @ 100V,-55°C ~ 175°C,Through Hole,TO-262-3 Long Leads   I²Pak   TO-262AA,TO-262-3
1 Pair Common Cathode,Schottky,100V,40A,840mV @ 40A,Fast Recovery =< 500ns   > 200mA (Io),-,1mA @ 100V,-40°C ~ 150°C,Through Hole,TO-3P-3 Full Pack,TO-3PW
2 Independent,Standard,80V,100mA,1.2V @ 100mA,Small Signal =< 200mA (Io)   Any Speed,4ns,500nA @ 80V,125°C (Max),Surface Mount,SC-61AA,SC-61B
2 Independent,Standard,200V,100mA,1.2V @ 100mA,Small Signal =< 200mA (Io)   Any Speed,60ns,1µA @ 200V,125°C (Max),Surface Mount,SC-61AA,SC-61B
2 Independent,Schottky,40V,100mA,600mV @ 100mA,Small Signal =< 200mA (Io)   Any Speed,-,5µA @ 40V,125°C (Max),Surface Mount,SC-61AA,SC-61B
2 Independent,Schottky,40V,100mA,600mV @ 100mA,Small Signal =< 200mA (Io)   Any Speed,-,5µA @ 40V,125°C (Max),Surface Mount,SC-82,USQ
2 Independent,Schottky,10V,100mA,500mV @ 100mA,Small Signal =< 200mA (Io)   Any Speed,-,20µA @ 10V,125°C (Max),Surface Mount,SC-82,USQ
1 Pair Common Cathode,Schottky,45V,10A,640mV @ 10A,Fast Recovery =< 500ns   > 200mA (Io),-,2mA @ 45V,-55°C ~ 175°C,Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,D2PAK
1 Pair Common Cathode,Schottky,100V,30A,1.05V @ 30A,Fast Recovery =< 500ns   > 200mA (Io),-,550µA @ 100V,-,Through Hole,TO-247-3,TO-247AC
1 Pair Common Cathode,Schottky,15V,20A,410mV @ 19A,Fast Recovery =< 500ns   > 200mA (Io),-,10mA @ 15V,-55°C ~ 125°C,Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,D2PAK
1 Pair Common Cathode,Schottky,45V,40A,520mV @ 40A,Fast Recovery =< 500ns   > 200mA (Io),-,5mA @ 45V,-55°C ~ 150°C,Chassis Mount,D-61-8,D-61-8
1 Pair Series Connection,Standard,300V,200mA (DC),1.1V @ 100mA,Small Signal =< 200mA (Io)   Any Speed,50ns,150nA @ 250V,150°C (Max),Surface Mount,TO-236-3   SC-59   SOT-23-3,TO-236AB (SOT23)
1 Pair Series Connection,Schottky,40V,200mA (DC),1V @ 40mA,Small Signal =< 200mA (Io)   Any Speed,5ns,100nA @ 30V,125°C (Max),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23
2 Independent,Schottky,40V,120mA (DC),1V @ 40mA,Small Signal =< 200mA (Io)   Any Speed,100ps,1µA @ 30V,150°C (Max),Surface Mount,TO-253-4   TO-253AA,PG-SOT143-4
2 Pair Series Connection,Schottky,40V,200mA (DC),1V @ 40mA,Small Signal =< 200mA (Io)   Any Speed,5ns,200nA @ 30V,-55°C ~ 125°C,Surface Mount,6-TSSOP   SC-88   SOT-363,SOT-363
1 Pair Common Anode,Schottky,70V,70mA (DC),1V @ 15mA,Small Signal =< 200mA (Io)   Any Speed,5ns,200nA @ 50V,-55°C ~ 125°C,Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23
2 Pair Series Connection,Schottky,70V,70mA (DC),1V @ 15mA,Small Signal =< 200mA (Io)   Any Speed,5ns,100nA @ 50V,-55°C ~ 125°C,Surface Mount,6-TSSOP   SC-88   SOT-363,SOT-363
1 Pair Common Cathode,Schottky,30V,200mA (DC),800mV @ 100mA,Small Signal =< 200mA (Io)   Any Speed,5ns,2µA @ 25V,-55°C ~ 125°C,Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3
1 Pair Series Connection,Schottky,40V,300mA (DC),900mV @ 100mA,Fast Recovery =< 500ns   > 200mA (Io),5ns,1µA @ 30V,-40°C ~ 150°C,Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23
1 Pair Common Anode,Schottky,40V,200mA (DC),550mV @ 200mA,Small Signal =< 200mA (Io)   Any Speed,-,15µA @ 30V,125°C (Max),Surface Mount,TO-236-3   SC-59   SOT-23-3,TO-236AB (SOT23)
1 Pair Series Connection,Schottky,40V,200mA (DC),550mV @ 200mA,Small Signal =< 200mA (Io)   Any Speed,-,15µA @ 30V,125°C (Max),Surface Mount,TO-236-3   SC-59   SOT-23-3,TO-236AB (SOT23)
1 Pair Series Connection,Standard,70V,215mA (DC),1.25V @ 150mA,Standard Recovery >500ns   > 200mA (Io),3µs,5nA @ 70V,-65°C ~ 150°C,Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3 (TO-236)
1 Pair Common Anode,Standard,200V,225mA (DC),1.25V @ 200mA,Fast Recovery =< 500ns   > 200mA (Io),50ns,100nA @ 200V,150°C (Max),Surface Mount,TO-236-3   SC-59   SOT-23-3,TO-236AB (SOT23)
1 Pair Series Connection,Standard,70V,200mA,1.25V @ 150mA,Small Signal =< 200mA (Io)   Any Speed,6ns,2.5µA @ 70V,-55°C ~ 150°C,Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3 (TO-236)
1 Pair Series Connection,Standard,100V,215mA (DC),1.25V @ 150mA,Fast Recovery =< 500ns   > 200mA (Io),6ns,2.5µA @ 70V,-65°C ~ 150°C,Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3 (TO-236)
2 Pair Series Connection,Standard,80V,200mA (DC),1.25V @ 150mA,Small Signal =< 200mA (Io)   Any Speed,4ns,150nA @ 70V,150°C (Max),Surface Mount,6-VSSOP   SC-88   SOT-363,PG-SOT363-6
2 Independent,Standard,300V,250mA (DC),1.1V @ 100mA,Fast Recovery =< 500ns   > 200mA (Io),50ns,150nA @ 250V,150°C (Max),Surface Mount,TO-253-4   TO-253AA,SOT-143B
1 Pair Common Anode,Standard,70V,200mA (DC),1.25V @ 150mA,Small Signal =< 200mA (Io)   Any Speed,6ns,2.5µA @ 70V,-55°C ~ 150°C,Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3 (TO-236)
2 Pair Common Anode,Standard,90V,250mA (DC),1.25V @ 150mA,Fast Recovery =< 500ns   > 200mA (Io),4ns,500nA @ 80V,150°C (Max),Surface Mount,6-TSSOP   SC-88   SOT-363,6-TSSOP
1 Pair Common Cathode,Standard,200V,20A,1.15V @ 20A,Fast Recovery =< 500ns   > 200mA (Io),25ns,30µA @ 200V,150°C (Max),Through Hole,TO-220-3,TO-220AB
1 Pair Common Cathode,Standard,200V,20A,1.15V @ 20A,Fast Recovery =< 500ns   > 200mA (Io),25ns,5µA @ 200V,175°C (Max),Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,D2PAK
1 Pair Series Connection,Standard,20V,100mA,1V @ 10mA,Small Signal =< 200mA (Io)   Any Speed,-,100nA @ 15V,150°C (Max),Surface Mount,SC-70   SOT-323,UMD3
1 Pair Common Cathode,Standard,80V,100mA,1.2V @ 100mA,Small Signal =< 200mA (Io)   Any Speed,4ns,100nA @ 70V,150°C (Max),Surface Mount,SC-70   SOT-323,UMD3
1 Pair Common Cathode,Standard,80V,100mA,1.2V @ 100mA,Small Signal =< 200mA (Io)   Any Speed,4ns,100nA @ 70V,150°C (Max),Surface Mount,SC-70   SOT-323,UMD3
1 Pair Common Cathode,Standard,80V,100mA,1.2V @ 100mA,Small Signal =< 200mA (Io)   Any Speed,4ns,100nA @ 80V,125°C (Max),Surface Mount,SC-96,3-CP
1 Pair Common Cathode,Standard,300V,30A,1.25V @ 30A,Fast Recovery =< 500ns   > 200mA (Io),30ns,10µA @ 300V,-55°C ~ 175°C,Through Hole,TO-3P-3 Full Pack,TO-247AD
2 Independent,Standard,200V,123A,1.1V @ 120A,Fast Recovery =< 500ns   > 200mA (Io),50ns,1mA @ 200V,-,Chassis Mount,SOT-227-4   miniBLOC,SOT-227B
1 Pair Series Connection,Standard,1600V,28A,1.6V @ 55A,Standard Recovery >500ns   > 200mA (Io),-,2mA @ 1600V,-40°C ~ 180°C,Through Hole,TO-3P-3 Full Pack,TO-247AD
1 Pair Common Cathode,Schottky,200V,30A,850mV @ 30A,Fast Recovery =< 500ns   > 200mA (Io),-,2mA @ 200V,-55°C ~ 175°C,Through Hole,TO-3P-3 Full Pack,TO-247AD
