https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/MAZ3000_Series_Rev_Jun_2013.pdf,MAZ31800MLTR-ND,MAZ31800ML,Panasonic Electronic Components,DIODE ZENER 18V 200MW MINI3,0,Obsolete,-,Tape & Reel (TR),-,Obsolete
https://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477_tmb.jpg,http://www.onsemi.com/pub/Collateral/MM3Z2V4T1-D.PDF,MM3Z18VT1GOSTR-ND,MM3Z18VT1G,ON Semiconductor,DIODE ZENER 18V 300MW SOD323,0  Standard Lead Time 35 Weeks,$0.02678,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3_527AG_tmb.jpg,http://www.onsemi.com/pub/Collateral/MMBZ5221BLT1-D.PDF,MMBZ5245BLT1GOSTR-ND,MMBZ5245BLT1G,ON Semiconductor,DIODE ZENER 15V 225MW SOT23-3,24  000 - Immediate,$0.02731,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/On%20Semi%20Renders/SOD-123_425_tmb.jpg,http://www.onsemi.com/pub/Collateral/MMSZ2V4T1-D.PDF,MMSZ43T1GOSTR-ND,MMSZ43T1G,ON Semiconductor,DIODE ZENER 43V 500MW SOD123,0  Standard Lead Time 40 Weeks,$0.04178,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-123_tmb.jpg,http://www.mccsemi.com/up_pdf/MMSZ4678-MMSZ4716(SOD-123)-D.pdf,MMSZ4684-TPMSTR-ND,MMSZ4684-TP,Micro Commercial Co,DIODE ZENER 3.3V 500MW SOD123,12  000 - Immediate,$0.03623,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-123_tmb.jpg,http://www.mccsemi.com/up_pdf/MMSZ4678-MMSZ4716(SOD-123)-D.pdf,MMSZ4702-TPMSTR-ND,MMSZ4702-TP,Micro Commercial Co,DIODE ZENER 15V 500MW SOD123,15  000 - Immediate,$0.03623,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/On%20Semi%20Renders/SOD-123_425_tmb.jpg,http://www.onsemi.com/pub/Collateral/MMSZ5221BT1-D.PDF,MMSZ5221BT1GOSTR-ND,MMSZ5221BT1G,ON Semiconductor,DIODE ZENER 2.4V 500MW SOD123,3  000 - Immediate,$0.04178,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/On%20Semi%20Renders/SOD-123_425_tmb.jpg,http://www.onsemi.com/pub/Collateral/MMSZ5221BT1-D.PDF,MMSZ5233BT1GOSTR-ND,MMSZ5233BT1G,ON Semiconductor,DIODE ZENER 6V 500MW SOD123,0  Standard Lead Time 40 Weeks,$0.04178,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Diodes%20Renders/31;%20SOD-123;%20;%202_tmb.jpg,https://www.diodes.com/assets/Datasheets/ds18010.pdf,MMSZ5240B-FDITR-ND,MMSZ5240B-7-F,Diodes Incorporated,DIODE ZENER 10V 500MW SOD123,0,$0.04232,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-123_tmb.jpg,http://www.mccsemi.com/up_pdf/MMSZ5221-MMSZ5261(SOD123).pdf,MMSZ5242B-TPMSTR-ND,MMSZ5242B-TP,Micro Commercial Co,DIODE ZENER 12V 500MW SOD123,81  000 - Immediate,$0.03623,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
