https://media.digikey.com/photos/Xilinx%20Photos/Xilinx-%201136-FBGA_tmb.jpg,http://www.xilinx.com/support/documentation/data_sheets/ds100.pdf,122-1560-ND,XC5VLX30T-1FFG665C,Xilinx Inc.,IC FPGA 360 I/O 665FCBGA,0  Standard Lead Time 6 Weeks,$434.20000,2  Non-Stock,Virtex®-5 LXT,Active,2400
https://media.digikey.com/Renders/Microsemi%20Renders/208-BFQFP_tmb.jpg,http://www.microsemi.com/document-portal/doc_download/130704-ds0097-proasic3-family-flash-fpgas-datasheet,1100-1249-ND,A3P250-PQ208I,Microsemi Corporation,IC FPGA 151 I/O 208QFP,0,$22.49097,-,ProASIC3,Last Time Buy,-
https://media.digikey.com/Renders/Cypress%20Semi%20Renders/100TQFP_tmb.jpg,http://www.microsemi.com/document-portal/doc_download/130704-ds0097-proasic3-family-flash-fpgas-datasheet,1100-1252-ND,A3P250-VQG100I,Microsemi Corporation,IC FPGA 68 I/O 100VQFP,0  Standard Lead Time 8 Weeks,$21.01000,1,ProASIC3,Active,-
https://media.digikey.com/Photos/Microsemi%20Photos/84-LCC_tmb.JPG,http://www.microsemi.com/index.php?option=com_docman&task=doc_download&gid=130699,A42MX24-FPLG84-ND,A42MX24-FPLG84,Microsemi Corporation,IC FPGA 72 I/O 84PLCC,0,$122.30938,32  Non-Stock,MX,Active,-
https://media.digikey.com/photos/Altera%20Photos/544-240-PQFP_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Altera%20PDFs/Cyclone_FPGA_Family.pdf,544-1082-ND,EP1C12Q240I7,Intel FPGAs/Altera,IC FPGA 173 I/O 240QFP,67 - Immediate,$67.29000,1,Cyclone®,Active,1206
https://media.digikey.com/Renders/Cypress%20Semi%20Renders/100TQFP_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Altera%20PDFs/Cyclone_FPGA_Family.pdf,544-1664-ND,EP1C3T100C8N,Intel FPGAs/Altera,IC FPGA 65 I/O 100TQFP,1  801 - Immediate,$12.30000,1,Cyclone®,Active,291
https://media.digikey.com/photos/Altera%20Photos/544-208-PQFP_tmb.jpg,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/ds/archives/acex.pdf,544-1824-ND,EP1K100QC208-2N,Intel FPGAs/Altera,IC FPGA 147 I/O 208QFP,0,Obsolete,-,ACEX-1K®,Obsolete,624
https://media.digikey.com/photos/Altera%20Photos/544-208-PQFP_tmb.jpg,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/ds/archives/acex.pdf,544-1003-ND,EP1K100QI208-2,Intel FPGAs/Altera,IC FPGA 147 I/O 208QFP,0,Obsolete,-,ACEX-1K®,Obsolete,624
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP_tmb.jpg,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/ds/archives/acex.pdf,544-1068-ND,EP1K30TI144-2,Intel FPGAs/Altera,IC FPGA 102 I/O 144TQFP,0,Obsolete,-,ACEX-1K®,Obsolete,216
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP_tmb.jpg,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/ds/archives/acex.pdf,544-1072-ND,EP1K50TC144-1,Intel FPGAs/Altera,IC FPGA 102 I/O 144TQFP,0,Obsolete,-,ACEX-1K®,Obsolete,360
https://media.digikey.com/Renders/Altera%20Renders/DS-484UBGA05-2_0_tmb.jpg,https://www.altera.com.cn/content/dam/altera-www/global/en_US/pdfs/literature/hb/cyc2/cyc2_cii5v1_01.pdf,544-2121-ND,EP2C50F484C8N,Intel FPGAs/Altera,IC FPGA 294 I/O 484FBGA,34 - Immediate,$184.00000,1,Cyclone® II,Active,3158
https://media.digikey.com/photos/Altera%20Photos/544-208-PQFP_tmb.jpg,https://www.altera.com.cn/content/dam/altera-www/global/en_US/pdfs/literature/hb/cyc2/cyc2_cii5v1_01.pdf,544-1673-ND,EP2C5Q208C8N,Intel FPGAs/Altera,IC FPGA 142 I/O 208QFP,505 - Immediate,$15.98000,1,Cyclone® II,Active,288
https://media.digikey.com/photos/Altera%20Photos/544-1020-FBGA_tmb.jpg,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/hb/stx2/stx2_sii5v1.pdf,544-1885-ND,EP2S180F1020C5N,Intel FPGAs/Altera,IC FPGA 742 I/O 1020FBGA,0  Standard Lead Time 12 Weeks,$7  055.25875,24  Non-Stock,Stratix® II,Active,8970
https://media.digikey.com/Renders/Altera%20Renders/544;-04R-00476-2.0;-E;-144_tmb.jpg,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/hb/cyc3/cyc3_ciii51001.pdf,544-2427-ND,EP3C10E144C8N,Intel FPGAs/Altera,IC FPGA 94 I/O 144EQFP,329 - Immediate,$24.00000,1,Cyclone® III,Active,645
https://media.digikey.com/photos/Altera%20Photos/544-240-PQFP_tmb.jpg,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/hb/cyc3/cyc3_ciii51001.pdf,544-2076-ND,EP3C25Q240C8N,Intel FPGAs/Altera,IC FPGA 148 I/O 240QFP,424 - Immediate,$53.37000,1,Cyclone® III,Active,1539
https://media.digikey.com/Renders/Altera%20Renders/544;-04R-00476-2.0;-E;-144_tmb.jpg,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/hb/cyclone-iv/cyclone4-handbook.pdf,EP4CE22E22C6N-ND,EP4CE22E22C6N,Intel FPGAs/Altera,IC FPGA 79 I/O 144EQFP,0  Standard Lead Time 20 Weeks,$53.28042,120  Non-Stock,Cyclone® IV E,Active,1395
https://media.digikey.com/Renders/xilinx%20renders/B-676_tmb.jpg,http://www.xilinx.com/support/documentation/data_sheets/ds099.pdf,XC3S4000-4FGG676C-ND,XC3S4000-4FGG676C,Xilinx Inc.,IC FPGA 489 I/O 676FBGA,0  Standard Lead Time 6 Weeks,$101.00000,40  Non-Stock,Spartan®-3,Active,6912
https://media.digikey.com/photos/Xilinx%20Photos/XC4VLX60-10FFG668C_tmb.JPG,http://www.xilinx.com/support/documentation/data_sheets/ds112.pdf,122-1494-ND,XC4VLX60-10FFG668C,Xilinx Inc.,IC FPGA 448 I/O 668FCBGA,0  Standard Lead Time 14 Weeks,$825.50000,1  Non-Stock,Virtex®-4 LX,Active,6656
https://media.digikey.com/Renders/xilinx%20renders/122;%20PK081;%20FG  %20FGG;%20484_tmb.jpg,http://www.xilinx.com/support/documentation/data_sheets/ds162.pdf,122-1674-ND,XC6SLX45-2FGG484C,Xilinx Inc.,IC FPGA 316 I/O 484FBGA,0  Standard Lead Time 6 Weeks,$62.93000,1,Spartan®-6 LX,Active,3411
