Driver,RS422   RS485,4/0,-,-,30Mbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Driver,-,7/0,-,-,-,0 V ~ 50 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.173"   4.40mm Width),16-SOP
Driver,RS232,4/0,-,-,-,5V,-40°C ~ 85°C,Surface Mount,16-BSOP (0.252"   6.40mm Width) + 2 Heat Tabs,16-HSOP
Driver,RS232,4/0,-,-,-,5V,-40°C ~ 85°C,Surface Mount,16-BSOP (0.252"   6.40mm Width) + 2 Heat Tabs,16-HSOP
Driver,-,8/0,-,-,-,5V,-40°C ~ 85°C,Surface Mount,18-SOIC (0.276"   7.00mm Width),18-SOP
Transceiver,CAN,1/1,Half,150mV,-,4.5 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Transceiver,CAN,1/1,Half,150mV,-,4.5 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Transceiver,CAN,2/2,Half,70mV,-,4.75 V ~ 5.25 V,-40°C ~ 125°C,Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Transceiver,CAN,1/1,Half,70mV,-,4.75 V ~ 5.25 V,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Transceiver,CAN,1/1,Half,150mV,1Mbps,3 V ~ 5.5 V,-55°C ~ 105°C,Surface Mount,8-SMD   Gull Wing,8-SOP
Transceiver,CAN,1/1,Half,150mV,500kBd,4.5 V ~ 5.5 V,-40°C ~ 110°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Receiver,Infrared (IRDA),0/1,-,-,4Mbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,CAN,1/1,Full,20mV,1Mbps,3.14 V ~ 3.47 V,-40°C ~ 85°C,Surface Mount,SOT-23-8,SOT-23-8
Transceiver,CAN,1/1,Full,20mV,1Mbps,3.14 V ~ 3.47 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Transceiver,CAN,1/1,Full,18mV,250kbps,4.75 V ~ 5.25 V,-40°C ~ 125°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Transceiver,Infrared (IRDA),1/1,Full,-,235Kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,CAN,1/1,Half,150mV,-,4.5 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Transceiver,CAN,1/1,Half,150mV,-,4.5 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Transceiver,CAN,1/1,Half,150mV,-,4.5 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Transceiver,CAN,1/1,-,-,-,4.75 V ~ 5.25 V,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,CAN,1/1,Half,100mV,1Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,CAN,1/1,Half,100mV,1Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,CAN,1/1,Half,100mV,1Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,CAN,1/1,Half,100mV,1Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,CAN,1/1,Half,100mV,1Mbps,3 V ~ 3.6 V,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,CAN,1/1,Half,100mV,1Mbps,3 V ~ 3.6 V,-55°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,CAN,1/1,Half,100mV,1Mbps,4.5 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,LIN,1/1,-,-,-,-,-,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Transceiver,CAN,1/1,Half,70mV,-,4.75 V ~ 5.25 V,-,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Transceiver,CAN,1/1,Half,70mV,-,4.75 V ~ 5.25 V,-,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Transceiver,CAN,1/1,Half,-,-,4.75 V ~ 5.25 V,-40°C ~ 150°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SO
Transceiver,CAN,1/1,Half,-,-,4.75 V ~ 5.25 V,-40°C ~ 125°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SO
Transceiver,CAN,1/1,Half,120mV,5Mbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Transceiver,CAN,1/1,Full,200mV,1MBd,4.75 V ~ 5.25 V,-40°C ~ 150°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),PG-DSO-8-16
