Infrared Encoder/Decoder,Fax   Modems   Pagers,2.7 V ~ 5.5 V,2.7 V ~ 5.5 V,Surface Mount,8-SOIC (0.209"   5.30mm Width),8-SOIC
Infrared Encoder/Decoder,Fax   Modems   Pagers,2.7 V ~ 5.5 V,2.7 V ~ 5.5 V,Surface Mount,8-SOIC (0.209"   5.30mm Width),8-SOIC
Video Encoder,RGB to NTSC/PAL,-,4.75 V ~ 5.25 V,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Video Encoder,RGB to NTSC/PAL,-,4.75 V ~ 5.25 V,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Video Encoder,Set-Top Boxes   Video Players   Displays,2.6 V ~ 3.46 V,1.71 V ~ 1.89 V,Surface Mount,40-VFQFN Exposed Pad   CSP,40-LFCSP-VQ (6x6)
Video Decoder,Set-Top Boxes,-,-,Surface Mount,100-LQFP,100-LQFP (14x14)
Video Encoder,-,3.1 V ~ 3.5 V,3 V ~ 3.6 V,Surface Mount,44-QFP,44-PQFP (10x10)
Video Decoder,TV,3 V ~ 3.6 V,3 V ~ 3.6 V,Surface Mount,128-LQFP,128-LQFP (14x20)
Video Decoder,Monitors   TV,1.8V   3.3V,1.8V   3.3V,Surface Mount,80-TQFP Exposed Pad,80-HTQFP (12x12)
Video Decoder,LCD TV/Monitor,1.8V   3.3V,1.8V   3.3V,Surface Mount,80-TQFP Exposed Pad,80-HTQFP (12x12)
Video Decoder,LCD TV/Monitor,1.8V   3.3V,1.8V   3.3V,Surface Mount,80-TQFP Exposed Pad,80-HTQFP (12x12)
Video Decoder,Cell Phones   PDA   Players,1.8V,1.8V   3.3V,Surface Mount,32-TQFP,32-TQFP (5x5)
