Buffer   ReDriver,I²C,2-Wire Bus,2-Wire Bus,400kHz,1,-,-,7pF,2.3 V ~ 3.6 V,500µA,-40°C ~ 85°C,8-TSSOP   8-MSOP (0.118"   3.00mm Width),8-VSSOP
Accelerator,I²C,2-Wire Bus,2-Wire Bus,400kHz,1,-,-,-,1.6 V ~ 5.5 V,200µA,-40°C ~ 85°C,6-VSSOP   SC-88   SOT-363,SC-70-6
Buffer   ReDriver,I²C,2-Wire Bus,2-Wire Bus,-,1,-,-,3000pF,4.5 V ~ 12 V,22mA,-40°C ~ 85°C,8-SOIC (0.154"   3.90mm Width),8-SOIC
Buffer   ReDriver,I²C,2-Wire Bus,2-Wire Bus,400kHz,1,-,-,3000pF,4.5 V ~ 12 V,22mA,-40°C ~ 85°C,8-SOIC (0.154"   3.90mm Width),8-SO
Buffer   ReDriver,I²C,2-Wire Bus,2-Wire Bus,400kHz,1,-,-,4pF,2 V ~ 15 V,4mA,-40°C ~ 85°C,8-TSSOP   8-MSOP (0.118"   3.00mm Width),8-VSSOP
Buffer   ReDriver,I²C,2-Wire Bus,2-Wire Bus,400kHz,1,-,-,7pF,2.3 V ~ 3.6 V,500µA,-40°C ~ 85°C,8-TSSOP (0.173"   4.40mm Width),8-TSSOP
Buffer   ReDriver,I²C,2-Wire Bus,2-Wire Bus,400kHz,1,-,-,6pF,3 V ~ 3.6 V,2.3mA,-40°C ~ 85°C,8-TSSOP   8-MSOP (0.118"   3.00mm Width),8-TSSOP
Buffer   ReDriver,I²C,2-Wire Bus,2-Wire Bus,400kHz,1,-,-,6pF,3 V ~ 3.6 V,2.3mA,-40°C ~ 85°C,8-TSSOP   8-MSOP (0.118"   3.00mm Width),8-TSSOP
Buffer   ReDriver,I²C,2-Wire Bus,2-Wire Bus,400kHz,1,-,-,10pF,2.5 V ~ 15 V,5.2mA,-40°C ~ 85°C,8-TSSOP   8-MSOP (0.118"   3.00mm Width),8-TSSOP
Buffer   Multiplexer,-,LVDS,LVDS,400Mbps,1 x 1:4,3.1ns,-,3pF,3 V ~ 3.6 V,23mA,-40°C ~ 85°C,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Buffer   ReDriver,-,LVDS   LVTTL,LVDS   LVTTL,400Mbps,2,1.7ns,-,3pF,2.4 V ~ 3.6 V,12mA,-40°C ~ 85°C,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Buffer   ReDriver,I²C,2-Wire Bus,2-Wire Bus,400kHz,1,-,-,7pF,2.3 V ~ 3.6 V,500µA,-40°C ~ 85°C,8-TSSOP   8-MSOP (0.118"   3.00mm Width),8-VSSOP
Buffer   ReDriver,-,CML   LVPECL   LVDS,CML,3.125Gbps,1,-,-,-,3.135 V ~ 3.465 V,50mA,-40°C ~ 85°C,16-WQFN Exposed Pad,16-WQFN (4x4)
