-,Bus,4.5 V ~ 5.5 V,44-LCC (J-Lead),44-PLCC,Surface Mount
-,Bus,4.5 V ~ 5.5 V,44-LCC (J-Lead),44-PLCC,Surface Mount
Keypads and Alarm Systems,I²C,1.8 V ~ 3 V,24-WFQFN Exposed Pad   CSP,24-LFCSP-WQ (4x4),Surface Mount
Encoder to Microprocessor,8-Bit Tristate,4.5 V ~ 5.5 V,32-DIP (0.600"   15.24mm),32-PDIP,Through Hole
Isolated Communications Interface,SPI,2.7 V ~ 5.5 V,16-TFSOP (0.118"   3.00mm Width),16-MSOP,Surface Mount
Cell Phones   PDA   Players,I²C,1.65 V ~ 3.6 V,24-WFQFN Exposed Pad,24-TQFN-EP (3.5x3.5),Surface Mount
2-Channel I²C Multiplexer,I²C,2.3 V ~ 3.6 V   4.5 V ~ 5.5 V,14-TSSOP (0.173"   4.40mm Width),14-TSSOP,Surface Mount
Translating Switch,I²C   SMBus,2.3 V ~ 3.6 V   4.5 V ~ 5.5 V,24-TSSOP (0.173"   4.40mm Width),24-TSSOP,Surface Mount
Desktop   Notebook PCs,I²C   2-Wire Serial,3 V ~ 3.6 V,40-WFQFN Exposed Pad,40-WQFN (5x5),Surface Mount
PDA's   Portable Audio/Video   Smartphones,I²C   2-Wire Serial,1.65 V ~ 3.6 V,24-WQFN Exposed Pad,24-WQFN (4x4),Surface Mount
PC's   PDA's,LPC,3.3V,-,-,-
I/O Controller,-,5V,-,84-PLCC,Surface Mount
-,Bus,4.5 V ~ 5.5 V,44-LCC (J-Lead),44-PLCC,Surface Mount
-,Bus,4.5 V ~ 5.5 V,40-DIP (0.620"   15.75mm),40-PDIP,Through Hole
Notebook Computer,Serial,1.65 V ~ 1.95 V,64-VFBGA,64-BGA Microstar Junior (5x5),Surface Mount
Displays,Serial,3 V ~ 3.6 V,48-TFSOP (0.240"   6.10mm Width),48-TSSOP,Surface Mount
HART Modem,Serial,2.7 V ~ 3.6 V,20-WQFN Exposed Pad,20-TQFN-EP (5x5),Surface Mount
Keypads and Alarm Systems,I²C,1.8 V ~ 3 V,24-WFQFN Exposed Pad   CSP,24-LFCSP-WQ (4x4),Surface Mount
Encoder to Microprocessor,8-Bit Tristate,4.5 V ~ 5.5 V,32-DIP (0.600"   15.24mm),32-PDIP,Through Hole
Medical,-,4.5 V ~ 5.5 V,14-SOIC (0.154"   3.90mm Width),14-SOIC,Surface Mount
Security Systems,-,2.5V,16-WQFN Exposed Pad,16-WQFN (4x4),Surface Mount
-,-,3 V ~ 3.6 V,48-TFSOP (0.240"   6.10mm Width),48-TSSOP,Surface Mount
-,-,4.5 V ~ 5.5 V,48-TFSOP (0.240"   6.10mm Width),48-TSSOP,Surface Mount
-,-,4.5 V ~ 5.5 V,48-TFSOP (0.240"   6.10mm Width),48-TSSOP,Surface Mount
-,-,4.75 V ~ 5.25 V,48-TFSOP (0.240"   6.10mm Width),48-TSSOP,Surface Mount
-,-,3 V ~ 3.6 V,48-TFSOP (0.240"   6.10mm Width),48-TSSOP,Surface Mount
-,-,3 V ~ 3.6 V,56-TFSOP (0.240"   6.10mm Width),56-TSSOP,Surface Mount
SMPTE 292M / 259 M,Serial,3.135 V ~ 3.465 V,16-SOIC (0.154"   3.90mm Width),16-SOIC,Surface Mount
Displays,Serial,3.135 V ~ 3.465 V,16-WQFN Exposed Pad,16-WQFN (4x4),Surface Mount
Video Equipment,SMBus (2-Wire/I²C),2.5V   3.3V,48-WFQFN Exposed Pad,48-WQFN (7x7),Surface Mount
Data Transport,Serial,3.135 V ~ 3.465 V,16-WQFN Exposed Pad,16-LLP-EP (4x4),Surface Mount
DisplayPort to TMDS Translator,HDMI,3 V ~ 3.6 V,40-VFQFN Exposed Pad,40-VQFN (6x6),Surface Mount
