Analog - Single Ended   Microphone,Analog - Single Ended   PWM Speaker Output,4 ~ 12kHz,20 ~ 60 Sec,-,Multiple,Internal,Automatic Gain Control   Volume Control,0°C ~ 70°C (TA),2.4V ~ 5.5V,Surface Mount,28-SOIC (0.295"   7.50mm Width),28-SOIC
Analog - Single Ended   Microphone,Analog - Single Ended   PWM Speaker Output,4 ~ 12kHz,20 ~ 60 Sec,-,Multiple,Internal,Automatic Gain Control   Volume Control,0°C ~ 70°C (TA),2.4V ~ 5.5V,Through Hole,28-DIP (0.600"   15.24mm),28-DIP
Analog - Single Ended   Microphone,Analog - Single Ended   PWM Speaker Output,4 ~ 12kHz,26 ~ 80 Sec,-,Multiple,Internal,Automatic Gain Control   Volume Control,0°C ~ 70°C (TA),2.4V ~ 5.5V,Through Hole,28-DIP (0.600"   15.24mm),28-DIP
Analog - Single Ended   Microphone,Analog - Single Ended   PWM Speaker Output,4 ~ 12kHz,40 ~ 120 Sec,-,Multiple,Internal,Automatic Gain Control   Volume Control,0°C ~ 70°C (TA),2.4V ~ 5.5V,Surface Mount,28-SOIC (0.295"   7.50mm Width),28-SOIC
Analog - Single Ended   Microphone,PWM Speaker Output,5.3kHz,90 Sec,2.3kHz,Multiple,Internal/External,Automatic Gain Control,0°C ~ 70°C (TA),4.5V ~ 6.5V,Surface Mount,28-SOIC (0.295"   7.50mm Width),28-SOIC
Analog - Differential,Analog - Single Ended,8kHz,8 Min,3.4kHz,Multiple,Internal/External,Auto Mute,0°C ~ 70°C (TA),2.7V ~ 3.3V,Through Hole,28-DIP (0.600"   15.24mm),28-DIP
Analog - Differential,Analog - Single Ended,8kHz,8 Min,3.4kHz,Multiple,Internal/External,Auto Mute,0°C ~ 70°C (TA),2.7V ~ 3.3V,Surface Mount,28-SOIC (0.295"   7.50mm Width),28-SOIC
Analog - Differential,Analog - Single Ended,4kHz,16 Min,1.7kHz,Multiple,Internal/External,Auto Mute,0°C ~ 70°C (TA),2.7V ~ 3.3V,Surface Mount,28-SOIC (0.295"   7.50mm Width),28-SOIC
Analog - Single Ended   Microphone,Analog - Single Ended   PWM Speaker Output,4 ~ 12kHz,20 ~ 60 Sec,-,Multiple,Internal,Automatic Gain Control   Volume Control,0°C ~ 70°C (TA),2.4V ~ 5.5V,Surface Mount,28-SOIC (0.295"   7.50mm Width),28-SOIC
Analog - Single Ended   Microphone,Analog - Single Ended   PWM Speaker Output,4 ~ 12kHz,20 ~ 60 Sec,-,Multiple,Internal,Automatic Gain Control   Volume Control,0°C ~ 70°C (TA),2.4V ~ 5.5V,Through Hole,28-DIP (0.600"   15.24mm),28-DIP
