Buffer   Non-Inverting,4,1,-,Push-Pull,7.8mA   7.8mA,2 V ~ 6 V,-40°C ~ 125°C (TA),Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SO
Buffer   Non-Inverting,6,1,-,Push-Pull,3mA   20mA,3 V ~ 15 V,-40°C ~ 85°C (TA),Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SO
Transceiver   Non-Inverting,1,8,-,Push-Pull,7.8mA   7.8mA,2 V ~ 6 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.209"   5.30mm Width),20-SO
Buffer   Non-Inverting,2,1,-,Push-Pull,32mA   32mA,1.65 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-VFSOP (0.091"   2.30mm Width),US8
Buffer   Non-Inverting,2,1,Schmitt Trigger,Push-Pull,32mA   32mA,1.65 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,6-TSSOP   SC-88   SOT-363,SC-70-6
Buffer   Inverting,2,4,-,Push-Pull,24mA   24mA,3 V ~ 5.5 V,-40°C ~ 85°C (TA),Through Hole,24-DIP (0.300"   7.62mm),24-PDIP
Buffer   Non-Inverting,2,4,-,Push-Pull,3mA   64mA,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Transceiver   Non-Inverting,1,8,-,Push-Pull,7.8mA   7.8mA,2 V ~ 6 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Buffer   Non-Inverting,1,8,-,Push-Pull,7.8mA   7.8mA,2 V ~ 6 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Buffer   Non-Inverting,6,1,-,Push-Pull,8mA   48mA,3 V ~ 18 V,-55°C ~ 125°C (TA),Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Buffer   Non-Inverting,2,2   4 (Hex),-,Push-Pull,14.1mA   23mA,3 V ~ 18 V,-55°C ~ 125°C (TA),Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Transceiver   Non-Inverting,1,8,-,Push-Pull,3mA   24mA; 12mA   64mA,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Through Hole,24-DIP (0.300"   7.62mm),24-PDIP
Buffer   Non-Inverting,6,1,-,Open Collector,-   24mA,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Through Hole,14-DIP (0.300"   7.62mm),14-PDIP
Transceiver   Non-Inverting,1,4,-,Push-Pull,15mA   24mA,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,14-SOIC (0.209"   5.30mm Width),14-SOP
Transceiver   Non-Inverting,1,8,-,Open Collector,-   24mA,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Through Hole,20-DIP (0.300"   7.62mm),20-PDIP
Transceiver   Inverting,1,8,-,Open Collector   Push-Pull,-   24mA; 15mA   24mA,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Through Hole,20-DIP (0.300"   7.62mm),20-PDIP
Transceiver   Inverting,1,8,-,Open Collector,-   24mA,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,20-SOIC (0.209"   5.30mm Width),20-SO
Transceiver   Inverting,1,8,-,Open Collector,-   24mA,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Through Hole,20-DIP (0.300"   7.62mm),20-PDIP
Transceiver   Non-Inverting,1,8,-,Push-Pull,15mA   24mA,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Through Hole,20-DIP (0.300"   7.62mm),20-PDIP
Transceiver   Non-Inverting,1,8,-,Push-Pull,15mA   48mA,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Through Hole,24-DIP (0.300"   7.62mm),24-PDIP
Buffer   Inverting,2,4,-,Push-Pull,15mA   64mA,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Through Hole,20-DIP (0.300"   7.62mm),20-PDIP
Buffer   Non-Inverting,2,4,-,Push-Pull,15mA   64mA,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,20-SOIC (0.209"   5.30mm Width),20-SO
Buffer   Non-Inverting,2,4,-,Push-Pull,15mA   64mA,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Through Hole,20-DIP (0.300"   7.62mm),20-PDIP
Buffer   Non-Inverting,2,4,-,Push-Pull,7.8mA   7.8mA,2 V ~ 6 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.209"   5.30mm Width),20-SO
Buffer   Non-Inverting,2,2   4 (Hex),-,Push-Pull,7.8mA   7.8mA,2 V ~ 6 V,-40°C ~ 85°C (TA),Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Buffer   Inverting,1,8,-,Push-Pull,7.8mA   7.8mA,2 V ~ 6 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.209"   5.30mm Width),20-SO
Buffer   Non-Inverting,6,1,-,Open Collector,-   40mA,4.75 V ~ 5.25 V,0°C ~ 70°C (TA),Surface Mount,14-SOIC (0.209"   5.30mm Width),14-SOP
Buffer   Non-Inverting,4,1,-,Push-Pull,2.6mA   24mA,4.75 V ~ 5.25 V,0°C ~ 70°C (TA),Surface Mount,14-SOIC (0.209"   5.30mm Width),14-SOP
Transceiver   Non-Inverting,1,4,-,Push-Pull,15mA   24mA,4.75 V ~ 5.25 V,0°C ~ 70°C (TA),Through Hole,14-DIP (0.300"   7.62mm),14-PDIP
Buffer   Non-Inverting,2,4,-,Push-Pull,15mA   24mA,4.75 V ~ 5.25 V,0°C ~ 70°C (TA),Through Hole,20-DIP (0.300"   7.62mm),20-PDIP
Transceiver   Non-Inverting,1,8,-,Push-Pull,15mA   24mA,4.75 V ~ 5.25 V,0°C ~ 70°C (TA),Through Hole,20-DIP (0.300"   7.62mm),20-PDIP
Buffer   Non-Inverting,2,2   4 (Hex),-,Push-Pull,2.6mA   24mA,4.75 V ~ 5.25 V,0°C ~ 70°C (TA),Surface Mount,16-SOIC (0.209"   5.30mm Width),16-SO
Transceiver   Non-Inverting,1,8,-,Open Collector,-   24mA,4.75 V ~ 5.25 V,0°C ~ 70°C (TA),Surface Mount,20-SOIC (0.209"   5.30mm Width),20-SO
Buffer   Non-Inverting,4,1,-,Push-Pull,32mA   64mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,14-SOIC (0.209"   5.30mm Width),14-SOP
