Set(Preset) and Reset,D-Type,Differential,2,1,15.5MHz,120ns @ 15V   50pF,Positive Edge,8.8mA   8.8mA,3 V ~ 15 V,4µA,5pF,-55°C ~ 125°C (TA),Surface Mount,14-SOIC (0.154"   3.90mm Width)
Set(Preset) and Reset,D-Type,Differential,2,1,40MHz,60ns @ 15V   50pF,Positive Edge,3.4mA   3.4mA,3 V ~ 15 V,4µA,7.5pF,-40°C ~ 125°C (TA),Surface Mount,14-SOIC (0.154"   3.90mm Width)
Master Reset,D-Type,Non-Inverted,1,8,160MHz,10.5ns @ 5V   50pF,Positive Edge,12mA   12mA,2 V ~ 5.5 V,20µA,2pF,-40°C ~ 125°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,70MHz,11.3ns @ 5V   50pF,Positive Edge,24mA   24mA,4.5 V ~ 5.5 V,8µA,4pF,-40°C ~ 85°C (TA),Surface Mount,24-SOIC (0.209"   5.30mm Width)
Master Reset,D-Type,Differential,1,4,140MHz,8.5ns @ 5V   50pF,Positive Edge,1mA   20mA,4.5 V ~ 5.5 V,34mA,-,0°C ~ 70°C (TA),Surface Mount,16-SOIC (0.209"   5.30mm Width)
Master Reset,D-Type,Non-Inverted,1,8,60MHz,13ns @ 6V   50pF,Positive Edge,5.2mA   5.2mA,2 V ~ 6 V,8µA,3pF,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,83MHz,28ns @ 6V   50pF,Positive Edge,7.8mA   7.8mA,2 V ~ 6 V,4µA,3.5pF,-40°C ~ 125°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,36MHz,46ns @ 6V   150pF,Positive Edge,7.8mA   7.8mA,2 V ~ 6 V,8µA,3pF,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width)
Set(Preset) and Reset,D-Type,Differential,2,1,60MHz,15ns @ 6V   50pF,Positive Edge,5.2mA   5.2mA,2 V ~ 6 V,4µA,3pF,-40°C ~ 85°C (TA),Surface Mount,14-SOIC (0.154"   3.90mm Width)
Set(Preset) and Reset,D-Type,Differential,2,1,24MHz,90ns @ 15V   50pF,Positive Edge,6.8mA   6.8mA,3 V ~ 18 V,4µA,5pF,-55°C ~ 125°C (TA),Through Hole,14-DIP (0.300"   7.62mm)
Set(Preset) and Reset,JK Type,Differential,2,1,24MHz,90ns @ 15V   50pF,Positive Edge,6.8mA   6.8mA,3 V ~ 18 V,4µA,5pF,-55°C ~ 125°C (TA),Through Hole,16-DIP (0.300"   7.62mm)
Master Reset,D-Type,Non-Inverted,1,6,25MHz,40ns @ 4.5V   50pF,Positive Edge,4mA   4mA,4.5 V ~ 5.5 V,8µA,10pF,-55°C ~ 125°C (TA),Through Hole,16-DIP (0.300"   7.62mm)
Master Reset,D-Type,Non-Inverted,1,8,35MHz,15ns @ 5V   50pF,Positive Edge,2.6mA   24mA,4.5 V ~ 5.5 V,20mA,-,0°C ~ 70°C (TA),Through Hole,20-DIP (0.300"   7.62mm)
Standard,D-Type,Tri-State   Inverted,1,8,35MHz,16ns @ 5V   50pF,Positive Edge,2.6mA   24mA,4.5 V ~ 5.5 V,19mA,-,0°C ~ 70°C (TA),Through Hole,20-DIP (0.300"   7.62mm)
Master Reset,D-Type,Non-Inverted,1,6,100MHz,10ns @ 5V   50pF,Positive Edge,2mA   20mA,4.5 V ~ 5.5 V,45mA,-,0°C ~ 70°C (TA),Surface Mount,16-SOIC (0.209"   5.30mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,10,125MHz,10ns @ 5V   50pF,Positive Edge,24mA   48mA,4.5 V ~ 5.5 V,10mA,5.5pF,0°C ~ 70°C (TA),Through Hole,24-DIP (0.300"   7.62mm)
Standard,D-Type,Tri-State   Non-Inverted,1,8,70MHz,9.1ns @ 5V   50pF,Positive Edge,15mA   64mA,4.5 V ~ 5.5 V,5mA,6pF,0°C ~ 70°C (TA),Surface Mount,20-SOIC (0.209"   5.30mm Width)
Master Reset,D-Type,Non-Inverted,1,8,60MHz,27ns @ 6V   50pF,Positive Edge,5.2mA   5.2mA,2 V ~ 6 V,8µA,3pF,-40°C ~ 85°C (TA),Through Hole,20-DIP (0.300"   7.62mm)
Standard,D-Type,Tri-State   Non-Inverted,1,8,70MHz,31ns @ 6V   50pF,Positive Edge,7.8mA   7.8mA,2 V ~ 6 V,8µA,3pF,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.209"   5.30mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,36MHz,46ns @ 6V   150pF,Positive Edge,7.8mA   7.8mA,2 V ~ 6 V,8µA,3pF,-40°C ~ 85°C (TA),Through Hole,20-DIP (0.300"   7.62mm)
Set(Preset) and Reset,D-Type,Differential,2,1,60MHz,30ns @ 6V   50pF,Positive Edge,5.2mA   5.2mA,2 V ~ 6 V,4µA,3pF,-40°C ~ 85°C (TA),Through Hole,14-DIP (0.300"   7.62mm)
Set(Preset) and Reset,JK Type,Differential,2,1,33MHz,40ns @ 5V   15pF,Positive Edge,400µA   8mA,4.75 V ~ 5.25 V,8mA,-,0°C ~ 70°C (TA),Through Hole,16-DIP (0.300"   7.62mm)
Master Reset,D-Type,Non-Inverted,1,8,40MHz,27ns @ 5V   15pF,Positive Edge,400µA   8mA,4.75 V ~ 5.25 V,27mA,-,0°C ~ 70°C (TA),Surface Mount,20-SOIC (0.209"   5.30mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,50MHz,28ns @ 5V   45pF,Positive Edge,2.6mA   24mA,4.75 V ~ 5.25 V,40mA,-,0°C ~ 70°C (TA),Through Hole,20-DIP (0.300"   7.62mm)
Standard,D-Type,Differential,1,8,40MHz,27ns @ 5V   15pF,Positive Edge,400µA   8mA,4.75 V ~ 5.25 V,28mA,-,0°C ~ 70°C (TA),Through Hole,20-DIP (0.300"   7.62mm)
Standard,D-Type,Non-Inverted,1,6,40MHz,27ns @ 5V   15pF,Positive Edge,400µA   8mA,4.75 V ~ 5.25 V,22mA,-,0°C ~ 70°C (TA),Through Hole,16-DIP (0.300"   7.62mm)
Standard,D-Type,Non-Inverted,1,6,40MHz,27ns @ 5V   15pF,Positive Edge,400µA   8mA,4.75 V ~ 5.25 V,22mA,-,0°C ~ 70°C (TA),Surface Mount,16-SOIC (0.209"   5.30mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,100MHz,17ns @ 5V   15pF,Positive Edge,6.5mA   -,4.75 V ~ 5.25 V,110mA,-,0°C ~ 70°C (TA),Through Hole,20-DIP (0.300"   7.62mm)
Set(Preset) and Reset,D-Type,Differential,2,1,110MHz,9ns @ 5V   15pF,Positive Edge,1mA   20mA,4.75 V ~ 5.25 V,25mA,-,0°C ~ 70°C (TA),Through Hole,14-DIP (0.300"   7.62mm)
Master Reset,D-Type,Non-Inverted,1,8,200MHz,6.8ns @ 5V   50pF,Positive Edge,32mA   64mA,4.5 V ~ 5.5 V,50µA,5pF,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width)
Set(Preset) and Reset,JK Type,Differential,2,1,175MHz,10ns @ 5V   50pF,Positive Edge,24mA   24mA,2 V ~ 6 V,2µA,4.5pF,-40°C ~ 85°C (TA),Surface Mount,16-SOIC (0.209"   5.30mm Width)
Master Reset,D-Type,Differential,1,4,244MHz,9.5ns @ 5V   50pF,Positive Edge,24mA   24mA,2 V ~ 6 V,40µA,4.5pF,-40°C ~ 85°C (TA),Surface Mount,16-TSSOP (0.173"   4.40mm Width)
Standard,D-Type,Tri-State   Non-Inverted,1,8,155MHz,9.5ns @ 5V   50pF,Positive Edge,24mA   24mA,2 V ~ 6 V,40µA,4.5pF,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width)
Set(Preset) and Reset,D-Type,Differential,2,1,160MHz,10ns @ 5V   50pF,Positive Edge,24mA   24mA,2 V ~ 6 V,20µA,4.5pF,-40°C ~ 85°C (TA),Surface Mount,14-SOIC (0.154"   3.90mm Width)
