NAND Gate,4,2,-,3 V ~ 15 V,1µA,3.4mA   3.4mA,1.5 V ~ 4 V,3.5 V ~ 11 V,35ns @ 15V   50pF,-40°C ~ 125°C,Surface Mount,14-SO,14-SOIC (0.154"   3.90mm Width)
Inverter,6,6,Schmitt Trigger,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.3 V ~ 1.2 V,1.5 V ~ 4.2 V,21ns @ 6V   50pF,-40°C ~ 85°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
Inverter,6,6,Schmitt Trigger,3 V ~ 15 V,4µA,3.4mA   3.4mA,1.5 V ~ 4 V,3.5 V ~ 11 V,60ns @ 15V   50pF,-40°C ~ 125°C,Surface Mount,14-SO,14-SOIC (0.154"   3.90mm Width)
AND Gate,4,2,-,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,17ns @ 6V   50pF,-40°C ~ 85°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
Inverter,6,6,Schmitt Trigger,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.3 V ~ 1.2 V,1.5 V ~ 4.2 V,21ns @ 6V   50pF,-40°C ~ 85°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
Inverter,6,6,-,4.5 V ~ 5.5 V,2µA,4mA   4mA,0.8V,2V,18ns @ 5.5V   50pF,-40°C ~ 85°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
NAND Gate,4,2,-,2 V ~ 6 V,40µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,7ns @ 6V   50pF,-40°C ~ 125°C,Surface Mount,14-SO,14-SOIC (0.154"   3.90mm Width)
Inverter,6,6,-,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,14ns @ 6V   50pF,-40°C ~ 125°C,Surface Mount,14-SO,14-SOIC (0.154"   3.90mm Width)
AND Gate,4,2,-,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,15ns @ 6V   50pF,-40°C ~ 125°C,Surface Mount,14-SO,14-SOIC (0.154"   3.90mm Width)
NAND Gate,4,2,Schmitt Trigger,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.3 V ~ 1.2 V,1.5 V ~ 4.2 V,21ns @ 6V   50pF,-40°C ~ 125°C,Surface Mount,14-SO,14-SOIC (0.154"   3.90mm Width)
OR Gate,4,2,-,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,15ns @ 6V   50pF,-40°C ~ 125°C,Surface Mount,14-SO,14-SOIC (0.154"   3.90mm Width)
XOR (Exclusive OR),4,2,-,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,20ns @ 6V   50pF,-40°C ~ 125°C,Surface Mount,14-SO,14-SOIC (0.154"   3.90mm Width)
NOR Gate,4,2,-,3 V ~ 18 V,1µA,3.4mA   3.4mA,1.5 V ~ 4 V,3.5 V ~ 11 V,90ns @ 15V   50pF,-55°C ~ 125°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
Inverter,6,6,-,3 V ~ 18 V,4µA,3.4mA   3.4mA,0.9 V ~ 4 V,3.6 V ~ 10.8 V,120ns @ 15V   50pF,-55°C ~ 125°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
NAND Gate,4,2,-,3 V ~ 18 V,1µA,3.4mA   3.4mA,1.5 V ~ 4 V,3.5 V ~ 11 V,90ns @ 15V   50pF,-55°C ~ 125°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
Inverter,6,6,-,3 V ~ 18 V,1µA,3.4mA   3.4mA,1 V ~ 2.5 V,4 V ~ 12.5 V,50ns @ 15V   50pF,-55°C ~ 125°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
OR Gate,4,2,-,3 V ~ 18 V,1µA,3.4mA   3.4mA,1.5 V ~ 4 V,3.5 V ~ 11 V,90ns @ 15V   50pF,-55°C ~ 125°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
AND Gate,3,3,-,3 V ~ 18 V,1µA,3.4mA   3.4mA,1.5 V ~ 4 V,3.5 V ~ 11 V,90ns @ 15V   50pF,-55°C ~ 125°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
