https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/16%20SOIC_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/ec/36/19/a8/9a/dc/46/04/CD00000401.pdf/files/CD00000401.pdf/jcr:content/translations/en.CD00000401.pdf,497-7241-2-ND,HCF4098M013TR,STMicroelectronics,IC MULTIVIBRATOR DUAL 16-SOIC,0,Obsolete,-,Tape & Reel (TR),4000,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/16%20SOIC_tmb.jpg,https://assets.nexperia.com/documents/data-sheet/HEF4538B.pdf,1727-3553-ND,HEF4538BT  652,Nexperia USA Inc.,IC DUAL MONO MULTIVIB 16-SOIC,4  168 - Immediate,$0.56000,1,Tube  Alternate Packaging,4000B,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/DIP16_SOT38-1%20Pkg_tmb.jpg,http://www.ti.com/lit/ds/symlink/sn74ls122.pdf,296-1636-5-ND,SN74LS123N,Texas Instruments,IC DUAL MONO MULTIVIB 16-DIP,3  163 - Immediate,$0.83000,1,Tube  Alternate Packaging,74LS,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/16%20SOIC_tmb.jpg,https://assets.nexperia.com/documents/data-sheet/74HC_HCT123.pdf,1727-2778-2-ND,74HC123D  653,Nexperia USA Inc.,IC MULTIVIBRATR DUAL MONO 16SOIC,12  500 - Immediate,$0.13118,2  500,Tape & Reel (TR)  Alternate Packaging,74HC,Active
https://media.digikey.com/Renders/Texas%20Instr%20Renders/14-DIP_tmb.jpg,http://www.ti.com/lit/ds/symlink/cd4047b.pdf,296-2053-5-ND,CD4047BE,Texas Instruments,IC MONO/ASTBL MULTIVIBRATR 14DIP,2  552 - Immediate,$0.56000,1,Tube  Alternate Packaging,4000B,Active
https://media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-5;D;14_tmb.jpg,http://www.ti.com/lit/ds/symlink/cd4047b.pdf,296-31500-2-ND,CD4047BM96,Texas Instruments,IC MONO/ASTBL MULTVIBRTR 14SOIC,25  000 - Immediate,$0.15810,2  500,Tape & Reel (TR)  Alternate Packaging,4000B,Active
https://media.digikey.com/Photos/Texas%20Instr%20Photos/296;4040062;NS;16_tmb.jpg,http://www.ti.com/lit/ds/symlink/cd74hc123.pdf,296-31564-2-ND,CD74HC123NSR,Texas Instruments,IC DUAL RETRIG MULTIVIBR 16SO,0  Standard Lead Time 6 Weeks,$0.21080,2  000,Tape & Reel (TR)  Alternate Packaging,74HC,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/DIP16_SOT38-1%20Pkg_tmb.jpg,http://www.ti.com/lit/ds/symlink/sn74221.pdf,296-33608-5-ND,SN74221N,Texas Instruments,IC DUAL MONOSTBL MULTIVIB 16-DIP,153 - Immediate,$5.73000,1,Tube  Alternate Packaging,7400,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/DIP16_SOT38-1%20Pkg_tmb.jpg,http://www.ti.com/lit/ds/symlink/sn74ls423.pdf,296-3707-5-ND,SN74LS423N,Texas Instruments,IC DUAL MONO MULTIVIBE 16-DIP,298 - Immediate,$2.88000,1,Tube  Alternate Packaging,74LS,Active
https://media.digikey.com/Renders/Texas%20Instr%20Renders/16-SOIC_tmb.jpg,http://www.ti.com/lit/ds/symlink/sn74ahct123a.pdf,296-39196-5-ND,SN74AHCT123AD,Texas Instruments,IC MULTIVIBRATOR DUAL 16-SOIC,5  185 - Immediate,$0.55000,1,Tube  Alternate Packaging,74AHCT,Active
https://media.digikey.com/Photos/Texas%20Instr%20Photos/296;4040062;NS;16_tmb.jpg,http://www.ti.com/lit/ds/symlink/cd74hc4538.pdf,296-41227-2-ND,CD74HC4538NSR,Texas Instruments,IC MULTIVIB MONO DUAL HS 16SO,0  Standard Lead Time 6 Weeks,$0.28710,2  000,Tape & Reel (TR)  Alternate Packaging,74HC,Active
https://media.digikey.com/Renders/Texas%20Instr%20Renders/14SOIC_tmb.jpg,http://www.ti.com/lit/ds/symlink/sn74ls122.pdf,296-13221-2-ND,SN74LS122NSR,Texas Instruments,IC RE-TRIG MONO MULTIVIB 14SO,0  Standard Lead Time 6 Weeks,$0.52220,2  000,Tape & Reel (TR)  Alternate Packaging,74LS,Active
https://media.digikey.com/Renders/Texas%20Instr%20Renders/16-SOIC_tmb.jpg,http://www.ti.com/lit/ds/symlink/cd14538b.pdf,296-31477-2-ND,CD14538BM96,Texas Instruments,IC DUAL PREC MULTIVIB 16SOIC,5  000 - Immediate,$0.14880,2  500,Tape & Reel (TR)  Alternate Packaging,4000B,Active
https://media.digikey.com/Renders/Texas%20Instr%20Renders/16-SOIC_tmb.jpg,http://www.ti.com/lit/ds/symlink/cd4098b.pdf,296-38058-2-ND,CD4098BM96,Texas Instruments,IC DUAL MONOSTBL MULTIVIB 16SOIC,7  500 - Immediate,$0.16430,2  500,Tape & Reel (TR)  Alternate Packaging,4000B,Active
https://media.digikey.com/Renders/Texas%20Instr%20Renders/16-SOIC_tmb.jpg,http://www.ti.com/lit/ds/symlink/cd74hc221.pdf,296-17789-2-ND,CD74HC221M96,Texas Instruments,IC DUAL MULTIVIBRATR MON 16-SOIC,10  000 - Immediate,$0.24795,2  500,Tape & Reel (TR)  Alternate Packaging,74HC,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14-SOIC_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/HCF4047B.pdf,497-1126-2-ND,HCF4047M013TR,STMicroelectronics,IC MULTIVIBRATOR LOW PWR 14-SOIC,0,Obsolete,-,Tape & Reel (TR),4000,Obsolete
https://media.digikey.com/Renders/NXP%20Semi%20Renders/14-SOIC-SOT108-1_tmb.jpg,https://assets.nexperia.com/documents/data-sheet/HEF4047B.pdf,1727-6408-2-ND,HEF4047BT  653,Nexperia USA Inc.,IC MONO/ASTBL MULTVIBRATR 14SOIC,0  Standard Lead Time 8 Weeks,$0.18088,2  500,Tape & Reel (TR)  Alternate Packaging,4000B,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/16%20SOIC_tmb.jpg,https://assets.nexperia.com/documents/data-sheet/HEF4528B.pdf,1727-2148-2-ND,HEF4528BT  653,Nexperia USA Inc.,IC MONO MULTIVBRTOR DUAL 16SOIC,0  Standard Lead Time 8 Weeks,$0.21700,2  500,Tape & Reel (TR)  Alternate Packaging,4000B,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/16%20SOIC_tmb.jpg,http://www.onsemi.com/pub/Collateral/MC74HC4538A-D.PDF,MC74HC4538ADR2GOSTR-ND,MC74HC4538ADR2G,ON Semiconductor,IC MULTIVIBRTR DUAL MONO 16SOIC,0  Standard Lead Time 20 Weeks,$0.18088,2  500,Tape & Reel (TR)  Alternate Packaging,74HC,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/16%20SOIC_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/MM74HC4538.pdf,MM74HC4538M-ND,MM74HC4538M,ON Semiconductor,IC MULTIVIBRATOR MONO DL 16-SOIC,0,Obsolete,-,Tube,74HC,Obsolete
https://media.digikey.com/Renders/Texas%20Instr%20Renders/14SOIC_tmb.jpg,http://www.ti.com/lit/ds/symlink/sn74ls122.pdf,296-13221-2-ND,SN74LS122NSR,Texas Instruments,IC RE-TRIG MONO MULTIVIB 14SO,0  Standard Lead Time 6 Weeks,$0.52220,2  000,Tape & Reel (TR)  Alternate Packaging,74LS,Active
