Bus Switch,2 x 1:2,1,-,Single Supply,1.65 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,14-TSSOP (0.173"   4.40mm Width),14-TSSOP
Decoder/Demultiplexer,1 x 2:4,2,5.2mA   5.2mA,Single Supply,2 V ~ 6 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Multiplexer/Demultiplexer,4 x 2:1,1,-,Single Supply,2.3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,16-SSOP (0.154"   3.90mm Width),16-SSOP
Decoder/Demultiplexer,1 x 3:8,1,12mA   12mA,Single Supply,2 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Decoder/Demultiplexer,1 x 3:8,1,24mA   24mA,Single Supply,3 V ~ 5.5 V,-40°C ~ 85°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Decoder/Demultiplexer,1 x 3:8,1,5.2mA   5.2mA,Single Supply,2 V ~ 6 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Decoder/Demultiplexer,1 x 3:8,1,5.2mA   5.2mA,Single Supply,2 V ~ 6 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.209"   5.30mm Width),16-SO
Decoder/Demultiplexer,1 x 3:8,1,5.2mA   5.2mA,Single Supply,2 V ~ 6 V,-40°C ~ 125°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SO
Decoder,1 x 4:10,1,6.8mA   6.8mA,Single Supply,3 V ~ 18 V,-55°C ~ 125°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Bilateral   FET Switches,1 x 1:1,4,-,Dual Supply,3 V ~ 18 V,-55°C ~ 125°C,Through Hole,14-DIP (0.300"   7.62mm),14-PDIP
Decoder/Demultiplexer,1 x 4:16,1,6.8mA   6.8mA,Dual Supply,3 V ~ 18 V,-55°C ~ 125°C,Surface Mount,24-SOIC (0.295"   7.50mm Width),24-SOIC
Priority Encoder,1 x 8:3,1,6.8mA   6.8mA,Dual Supply,3 V ~ 18 V,-55°C ~ 125°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Priority Encoder,1 x 10:4,1,5.2mA   5.2mA,Single Supply,2 V ~ 6 V,-55°C ~ 125°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Decoder/Demultiplexer,1 x 3:8,1,5.2mA   5.2mA,Single Supply,2 V ~ 6 V,-55°C ~ 125°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
