Non-Volatile,EEPROM,EEPROM,20Kb (256 x 80),-,-,2.27µs,1-Wire®,-,-40°C ~ 85°C (TA),Surface Mount,6-LSOJ (0.148"   3.76mm Width),6-TSOC
Non-Volatile,EEPROM,EEPROM,2Kb (256 x 8),1MHz,5ms,550ns,I²C,1.7 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,128Kb (16K x 8),1MHz,5ms,550ns,I²C,1.7 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,256Kb (32K x 8),1MHz,5ms,550ns,I²C,1.7 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,512Kb (64K x 8),1MHz,5ms,550ns,I²C,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,64Kb (8K x 8),1MHz,5ms,550ns,I²C,1.7 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,FLASH,FLASH,16Mb (528 Bytes x 4096 pages),66MHz,6ms,-,SPI,2.7 V ~ 3.6 V,-40°C ~ 85°C (TC),Surface Mount,8-SOIC (0.209"   5.30mm Width),8-SOIC
Non-Volatile,FLASH,FLASH,32Mb (528 Bytes x 8192 pages),50MHz,6ms,-,SPI,2.5 V ~ 3.6 V,-40°C ~ 85°C (TC),Surface Mount,8-SOIC (0.209"   5.30mm Width),8-SOIC
Non-Volatile,FLASH,FLASH,32Mb (528 Bytes x 8192 pages),85MHz,8µs   4ms,-,SPI,2.3 V ~ 3.6 V,-40°C ~ 85°C (TC),Surface Mount,8-SOIC (0.209"   5.30mm Width),8-SOIC
Non-Volatile,FLASH,FLASH - NOR,16Mb (2M x 8),75MHz,15ms   5ms,-,SPI,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Non-Volatile,FLASH,FLASH - NOR,32Mb (4M x 8),104MHz,50µs   3ms,-,SPI - Quad I/O   QPI,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.209"   5.30mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,4Kb (512 x 8),1MHz,5ms,550ns,I²C,1.7 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,8Kb (1K x 8),1MHz,5ms,550ns,I²C,1.7 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,16Kb (2K x 8),1MHz,5ms,550ns,I²C,1.7 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,32Kb (4K x 8),1MHz,5ms,550ns,I²C,1.7 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,FLASH,FLASH,16Mb (512 Bytes x 4096 pages),85MHz,8µs   4ms,-,SPI,2.5 V ~ 3.6 V,-40°C ~ 85°C (TC),Surface Mount,8-SOIC (0.209"   5.30mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,1Kb (128 x 8   64 x 16),2MHz,5ms,-,SPI,1.8 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,FLASH,FLASH - NOR,4Mb (512K x 8),-,70ns,70ns,Parallel,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,32-TFSOP (0.724"   18.40mm Width),32-TSOP (8x20)
Volatile,SRAM,SRAM,256Kb (32K x 8),20MHz,-,-,SPI,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
