Low-Side,Independent,2,-,4.5 V ~ 5.5 V,0.8V   2V,500mA   500mA,Non-Inverting,-,50ns   90ns,0°C ~ 70°C (TA),Through Hole,8-DIP (0.300"   7.62mm),8-PDIP
Low-Side,Independent,2,N-Channel   P-Channel MOSFET,4.75 V ~ 5.25 V,0.8V   2V,500mA   500mA,Inverting,-,5ns   7ns,0°C ~ 70°C (TA),Through Hole,8-DIP (0.300"   7.62mm),8-PDIP
Low-Side,Independent,2,N-Channel   P-Channel MOSFET,4.75 V ~ 5.25 V,0.8V   2V,500mA   500mA,Non-Inverting,-,5ns   7ns,0°C ~ 70°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Low-Side,Independent,2,N-Channel   P-Channel MOSFET,4.75 V ~ 5.25 V,0.8V   2V,500mA   500mA,Non-Inverting,-,5ns   7ns,0°C ~ 70°C (TA),Through Hole,8-DIP (0.300"   7.62mm),8-PDIP
Half-Bridge,Independent,2,IGBT   N-Channel MOSFET,10 V ~ 20 V,0.8V   3V,210mA   360mA,Inverting   Non-Inverting,600V,100ns   50ns,-40°C ~ 150°C (TJ),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Half-Bridge,Synchronous,2,IGBT   N-Channel MOSFET,10 V ~ 20 V,0.8V   3V,210mA   360mA,Non-Inverting,600V,100ns   50ns,-40°C ~ 150°C (TJ),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Half-Bridge,3-Phase,6,IGBT   N-Channel MOSFET,10 V ~ 20 V,0.8V   2.2V,250mA   500mA,Inverting,600V,80ns   35ns,-40°C ~ 150°C (TJ),Surface Mount,28-SOIC (0.295"   7.50mm Width),28-SOIC
Low-Side,Independent,2,N-Channel   P-Channel MOSFET,4.5 V ~ 18 V,0.8V   2.4V,1.5A   1.5A,Non-Inverting,-,30ns   30ns,0°C ~ 70°C (TA),Through Hole,8-DIP (0.300"   7.62mm),8-PDIP
Low-Side,Independent,2,N-Channel   P-Channel MOSFET,4.5 V ~ 18 V,0.8V   2.4V,1.5A   1.5A,Inverting,-,25ns   25ns,-40°C ~ 150°C (TJ),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Low-Side,Independent,2,N-Channel   P-Channel MOSFET,4.5 V ~ 18 V,0.8V   2.4V,1.5A   1.5A,Non-Inverting,-,25ns   25ns,-40°C ~ 150°C (TJ),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
