Bipolar,Brushed DC,Driver - Fully Integrated   Control and Power Stage,Low Side (2),Parallel,Bi-CMOS   DMOS,-,General Purpose,3A,12 V ~ 55 V,12 V ~ 55 V,-40°C ~ 150°C (TJ),Through Hole,TO-220-11 (Formed Leads),TO-220-11
Bipolar,-,Driver - Fully Integrated   Control and Power Stage,Half Bridge (2),Parallel,Bipolar,1   1/2,General Purpose,1.5A,4.75 V ~ 5.25 V,10 V ~ 45 V,0°C ~ 150°C (TJ),Through Hole,16-DIP (0.300"   7.62mm),16-PowerDIP
-,Voice Coil Motor,Driver - Fully Integrated   Control and Power Stage,Low Side,I²C,Power MOSFET,>256 Microsteps,Camera,102mA,2.3 V ~ 5.5 V,2.3 V ~ 5.5 V,-40°C ~ 150°C (TJ),Surface Mount,6-UFBGA   WLCSP,6-WLCSP (1.46x0.96)
-,Brushless DC (BLDC),Controller - Commutation   Direction Management,Pre-Driver - Half Bridge (3),Parallel,Power MOSFET,-,Automotive,-,5.5 V ~ 50 V,-,-40°C ~ 150°C (TA),Surface Mount,48-LQFP Exposed Pad,48-LQFP-EP (7x7)
-,Brushed DC,Driver - Fully Integrated   Control and Power Stage,Half Bridge (2),Parallel,DMOS,-,General Purpose,2.8A,8 V ~ 36 V,8 V ~ 36 V,-20°C ~ 150°C (TJ),Surface Mount,16-TSSOP (0.173"   4.40mm Width) Exposed Pad,16-TSSOP-EP
Bipolar,-,Driver - Fully Integrated   Control and Power Stage,Half Bridge (2),Parallel,Bipolar,1   1/2   1/4   1/8,General Purpose,1.5A,4.5 V ~ 5.5 V,4.5 V ~ 50 V,-20°C ~ 150°C (TJ),Through Hole,16-PowerDIP (0.300"   7.62mm),16-DIP
-,Brushed DC,Driver - Fully Integrated   Control and Power Stage,Half Bridge (2),Serial,DMOS,-,General Purpose,2A,4.5 V ~ 5.5 V,20 V ~ 50 V,-20°C ~ 150°C (TJ),Surface Mount,24-SOIC (0.295"   7.50mm Width),24-SOIC
Bipolar,-,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),Logic,Bipolar,1   1/2   1/4   1/8,General Purpose,750mA,3 V ~ 5.5 V,4.75 V ~ 30 V,-20°C ~ 150°C (TJ),Surface Mount,24-SOIC (0.295"   7.50mm Width),24-SOIC
Bipolar,-,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),Logic,DMOS,1   1/2   1/4   1/8,General Purpose,2.5A,3 V ~ 5.5 V,8 V ~ 35 V,-20°C ~ 150°C (TJ),Surface Mount,44-LCC (J-Lead),44-PLCC (16.59x16.59)
Bipolar,-,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),Logic,DMOS,1   1/2   1/4   1/8,General Purpose,2.5A,3 V ~ 5.5 V,8 V ~ 35 V,-20°C ~ 150°C (TJ),Surface Mount,28-TSSOP (0.173"   4.40mm Width) Exposed Pad,28-TSSOP-EP
Bipolar,-,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),Logic,DMOS,1   1/2   1/4   1/16,General Purpose,2.5A,3 V ~ 5.5 V,8 V ~ 35 V,-20°C ~ 150°C (TJ),Surface Mount,28-TSSOP (0.173"   4.40mm Width) Exposed Pad,28-TSSOP-EP
Bipolar,-,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),Logic,DMOS,1   1/2,General Purpose,2A,3 V ~ 5.5 V,8 V ~ 35 V,-20°C ~ 150°C (TJ),Surface Mount,24-SOIC (0.295"   7.50mm Width),24-SOIC
Bipolar,Brushed DC,Driver - Fully Integrated   Control and Power Stage,Half Bridge (8),Parallel,DMOS,1   1/2   1/4,General Purpose,1.2A,3 V ~ 5.5 V,8 V ~ 36 V,-20°C ~ 150°C (TJ),Surface Mount,48-LQFP Exposed Pad,48-LQFP-EP (7x7)
-,Brushless DC (BLDC),Controller - Commutation   Direction Management,Pre-Driver - Half Bridge (3),SPI,Power MOSFET,-,General Purpose,-,4.2 V ~ 50 V,-,-25°C ~ 150°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width) Exposed Pad,20-TSSOP-EP
Bipolar,-,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),SPI   Step/Direction,DMOS,1   1/2   1/4   1/16,Automotive,1.4A,3 V ~ 5.5 V,0 V ~ 50 V,-40°C ~ 150°C (TJ),Surface Mount,28-TSSOP (0.173"   4.40mm Width) Exposed Pad,28-TSSOP-EP
Bipolar,-,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),Logic,DMOS,1   1/2   1/4   1/16,General Purpose,2A,3 V ~ 5.5 V,8 V ~ 35 V,-20°C ~ 150°C (TJ),Surface Mount,24-TSSOP (0.173"   4.40mm Width) Exposed Pad,24-TSSOP-EP
Bipolar,-,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),Logic,DMOS,1   1/2   1/4   1/8   1/16,General Purpose,2A,3 V ~ 5.5 V,8 V ~ 35 V,-20°C ~ 150°C (TJ),Surface Mount,28-VFQFN Exposed Pad,28-QFN/MLP (5x5)
Bipolar,-,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),Logic,DMOS,1   1/2   1/4   1/8   1/16,General Purpose,2A,3 V ~ 5.5 V,8 V ~ 35 V,-20°C ~ 150°C (TJ),Surface Mount,28-VFQFN Exposed Pad,28-QFN (5x5)
-,Brushed DC,Driver - Fully Integrated   Control and Power Stage,Half Bridge (2),On/Off,Bipolar,-,General Purpose,2A,8 V ~ 18 V,8 V ~ 18 V,-25°C ~ 150°C (TJ),Surface Mount,25-SOP (0.213"   5.40mm Width) + 2 Heat Tabs,25-HSOP
Bipolar,-,Driver - Fully Integrated   Control and Power Stage,Half Bridge (2),Parallel,Bipolar,-,General Purpose,1A,2.7 V ~ 9 V,2.7 V ~ 9 V,-25°C ~ 75°C (TA),Surface Mount,16-LSOP (0.173"   4.40mm Width),16-SSOPA
-,Brushed DC,Driver - Fully Integrated   Control and Power Stage,Half Bridge,On/Off,Power MOSFET,-,General Purpose,47A,8 V ~ 18 V,8 V ~ 18 V,-40°C ~ 150°C (TJ),Surface Mount,TO-263-8   D²Pak (7 Leads + Tab)   TO-263CA,PG-TO263-7
-,Brushless DC (BLDC),Controller - Commutation   Direction Management,Pre-Driver - Half Bridge (3),SPI,Power MOSFET,-,General Purpose,-,6 V ~ 60 V,-,-40°C ~ 125°C (TA),Surface Mount,56-TFSOP (0.240"   6.10mm Width) Exposed Pad,56-HTSSOP
-,Brushless DC (BLDC),Controller - Commutation   Direction Management,Pre-Driver - Half Bridge (3),Parallel,Power MOSFET,-,General Purpose,-,8 V ~ 60 V,-,-40°C ~ 125°C (TA),Surface Mount,56-TFSOP (0.240"   6.10mm Width) Exposed Pad,56-HTSSOP
-,Brushless DC (BLDC),Controller - Commutation   Direction Management,Pre-Driver - Half Bridge (3),SPI,NMOS,-,General Purpose,-,6 V ~ 60 V,-,-40°C ~ 125°C (TA),Surface Mount,48-TFSOP (0.240"   6.10mm Width) Exposed Pad,48-HTSSOP
Bipolar,-,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),Logic,Power MOSFET,1 ~ 1/32,General Purpose,2.5A,8.2 V ~ 45 V,8.2 V ~ 45 V,-40°C ~ 150°C (TJ),Surface Mount,28-TSSOP (0.173"   4.40mm Width) Exposed Pad,28-HTSSOP
Bipolar,Brushed DC,Driver - Fully Integrated   Control and Power Stage,Half Bridge (4),Parallel,Bipolar,-,General Purpose,1A,4.5 V ~ 36 V,4.5 V ~ 36 V,0°C ~ 70°C (TA),Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Bipolar   Unipolar,-,Controller - Commutation   Direction Management,Pre-Driver - Half Bridge (4),Parallel,-,1   1/2,General Purpose,-,4.75 V ~ 7 V,-,-40°C ~ 150°C (TJ),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SO
