https://media.digikey.com/Renders/On%20Semi%20Renders/TO-92-3(StandardBody)  TO-226_bentlead_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Sharp%20PDFs/PQ0(33  50)ES3MXP.pdf,PQ033ES3MXPQ-ND,PQ033ES3MXPQ,Sharp Microelectronics,IC REG LINEAR 3.3V 300MA TO92-3,0,Obsolete,-,Tape & Box (TB),-,Obsolete
https://media.digikey.com/Renders/STMicro%20Renders/D2Pak%20TO-263_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf,497-1171-2-ND,L7805CD2T-TR,STMicroelectronics,IC REG LINEAR 5V 1.5A D2PAK,20  000 - Immediate,$0.33968,1  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/STMicro%20Renders/497;TO220-3  TO220AB;;3_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf,497-1443-5-ND,L7805CV,STMicroelectronics,IC REG LINEAR 5V 1.5A TO220AB,22  808 - Immediate,$0.50000,1,Tube,-,Active
https://media.digikey.com/Renders/STMicro%20Renders/497;TO220-3  TO220AB;;3_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf,497-1460-5-ND,L7824CV,STMicroelectronics,IC REG LINEAR 24V 1.5A TO220AB,4  857 - Immediate,$0.45000,1,Tube,-,Active
https://media.digikey.com/Photos/STMicro%20Photos/497;0068771-IPAKShortLeads;;3_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/d7/5f/dc/5c/d5/b6/48/7c/CD00000447.pdf/files/CD00000447.pdf/jcr:content/translations/en.CD00000447.pdf,497-15631-5-ND,L78M05CDT-1,STMicroelectronics,IC REG LINEAR 5V 500MA IPAK,5  155 - Immediate,$0.59000,1,Tube,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-252-3_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/d7/5f/dc/5c/d5/b6/48/7c/CD00000447.pdf/files/CD00000447.pdf/jcr:content/translations/en.CD00000447.pdf,497-1208-2-ND,L78M09CDT-TR,STMicroelectronics,IC REG LINEAR 9V 500MA DPAK,0  Standard Lead Time 50 Weeks,$0.20925,2  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-252-3_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/d7/5f/dc/5c/d5/b6/48/7c/CD00000447.pdf/files/CD00000447.pdf/jcr:content/translations/en.CD00000447.pdf,497-1211-2-ND,L78M12CDT-TR,STMicroelectronics,IC REG LINEAR 12V 500MA DPAK,0  Standard Lead Time 50 Weeks,$0.18244,2  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/renders/STMicro%20Renders/497;DPAK(TO252-3);;2_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/53/db/00/58/09/98/4b/36/CD00001884.pdf/files/CD00001884.pdf/jcr:content/translations/en.CD00001884.pdf,497-3446-2-ND,LD1086DT33TR,STMicroelectronics,IC REG LINEAR 3.3V 1.5A DPAK,15  000 - Immediate,$0.41720,2  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/STMicro%20Renders/497;TO220-3  TO220AB;;3_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/c4/0e/7e/2a/be/bc/4c/bd/CD00000546.pdf/files/CD00000546.pdf/jcr:content/translations/en.CD00000546.pdf,497-7313-5-ND,LF33CV,STMicroelectronics,IC REG LINEAR 3.3V 500MA TO220AB,934 - Immediate,$0.98000,1,Tube,-,Active
https://media.digikey.com/Renders/Texas%20Instr%20Renders/TO-220-3_tmb.jpg,http://www.ti.com/lit/ds/symlink/lm2940-n.pdf,LM2940CT-5.0/NOPB-ND,LM2940CT-5.0/NOPB,Texas Instruments,IC REG LINEAR 5V 1A TO220-3,12  419 - Immediate,$1.53000,1,Tube,-,Active
https://media.digikey.com/Photos/Fairchild%20Semi%20Photos/TO-252-3  %20DPak%20(2%20Leads%20+%20Tab)  %20SC-63_tmb.jpg,https://www.fairchildsemi.com/datasheets/LM/LM317M.pdf,LM317MDTXFSTR-ND,LM317MDTX,ON Semiconductor,IC REG LIN POS ADJ 500MA TO252,6  000 - Immediate,$0.29276,2  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/STMicro%20Renders/497;TO220-3  TO220AB;;3_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/group1/a0/db/e6/9b/6f/9c/45/7b/CD00000455/files/CD00000455.pdf/jcr:content/translations/en.CD00000455.pdf,497-1575-5-ND,LM317T,STMicroelectronics,IC REG LIN POS ADJ 1.5A TO220AB,14  091 - Immediate,$0.64000,1,Tube,-,Active
https://media.digikey.com/Renders/Texas%20Instr%20Renders/DDA-8-SOIC%20Pkg_tmb.jpg,http://www.ti.com/lit/ds/symlink/lp3878-adj.pdf,LP3878MR-ADJ/NOPB-ND,LP3878MR-ADJ/NOPB,Texas Instruments,IC REG LINEAR POS ADJ 800MA 8SO,2  983 - Immediate,$2.49000,1,Tube  Alternate Packaging,-,Active
https://media.digikey.com/Renders/National%20Semi%20Renders/TS3B_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/FAN1086.pdf,FAN1086M33-ND,FAN1086M33,ON Semiconductor,IC REG LINEAR 3.3V 1.5A TO263-3,0,Obsolete,-,Tube,-,Obsolete
https://media.digikey.com/Renders/STMicro%20Renders/497;TO220-3  TO220AB;;3_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf,497-1445-5-ND,L7806CV,STMicroelectronics,IC REG LINEAR 6V 1.5A TO220-3,2  875 - Immediate,$0.45000,1,Tube,-,Active
https://media.digikey.com/Renders/STMicro%20Renders/497;TO220-3  TO220AB;;3_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf,497-1448-5-ND,L7809CV,STMicroelectronics,IC REG LINEAR 9V 1.5A TO220AB,4  108 - Immediate,$0.45000,1,Tube,-,Active
https://media.digikey.com/Renders/STMicro%20Renders/D2Pak%20TO-263_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf,497-1178-2-ND,L7812CD2T-TR,STMicroelectronics,IC REG LINEAR 12V 1.5A D2PAK,0  Standard Lead Time 32 Weeks,$0.31504,1  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/STMicro%20Renders/497;TO220-3  TO220AB;;3_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf,497-1452-5-ND,L7812CV,STMicroelectronics,IC REG LINEAR 12V 1.5A TO220AB,16  576 - Immediate,$0.45000,1,Tube,-,Active
https://media.digikey.com/Renders/STMicro%20Renders/497;TO220-3  TO220AB;;3_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf,497-1454-5-ND,L7815CV,STMicroelectronics,IC REG LINEAR 15V 1.5A TO220AB,2  816 - Immediate,$0.50000,1,Tube,-,Active
https://media.digikey.com/Renders/STMicro%20Renders/497;TO220-3  TO220AB;;3_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf,497-14788-5-ND,L7818CV-DG,STMicroelectronics,IC REG LINEAR 18V 1.5A TO220,425 - Immediate,$0.57000,1,Tube,-,Active
https://media.digikey.com/photos/STMicro%20Photos/497-SOT-89%20SERIES_tmb.JPG,http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf,497-1183-2-ND,L78L05ACUTR,STMicroelectronics,IC REG LINEAR 5V 100MA SOT89-3,85  000 - Immediate,$0.14338,2  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/On%20Semi%20Renders/TO-92-3(StandardBody)  TO-226_bentlead_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf,497-16173-3-ND,L78L05ACZ-AP,STMicroelectronics,IC REG LINEAR 5V 100MA TO92-3,4  000 - Immediate,$0.10890,2  000,Tape & Box (TB)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-252-3_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/d7/5f/dc/5c/d5/b6/48/7c/CD00000447.pdf/files/CD00000447.pdf/jcr:content/translations/en.CD00000447.pdf,497-1212-2-ND,L78M15CDT-TR,STMicroelectronics,IC REG LINEAR 15V 500MA DPAK,0  Standard Lead Time 50 Weeks,$0.22785,2  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/STMicro%20Renders/497;TO220-3  TO220AB;;3_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/L79xxC_Rev21_May2012.pdf,497-12408-ND,L7905CV-DG,STMicroelectronics,IC REG LINEAR -5V 1.5A TO220,3  173 - Immediate,$0.69000,1,Tube,-,Active
https://media.digikey.com/Renders/STMicro%20Renders/497;TO220-3  TO220AB;;3_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/L79xxC_Rev21_May2012.pdf,497-15587-5-ND,L7908CV-DG,STMicroelectronics,IC REG LINEAR -8V 1.5A TO220,1  453 - Immediate,$0.83000,1,Tube,-,Active
https://media.digikey.com/Renders/STMicro%20Renders/497;TO220-3  TO220AB;;3_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/L79xxC_Rev21_May2012.pdf,497-1476-5-ND,L7912CV,STMicroelectronics,IC REG LINEAR -12V 1.5A TO220AB,2  125 - Immediate,$0.49000,1,Tube,-,Active
https://media.digikey.com/Renders/STMicro%20Renders/497;TO220-3  TO220AB;;3_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/L79xxC_Rev21_May2012.pdf,497-1478-5-ND,L7915CV,STMicroelectronics,IC REG LINEAR -15V 1.5A TO220AB,2  668 - Immediate,$0.60000,1,Tube,-,Active
https://media.digikey.com/renders/STMicro%20Renders/497;DPAK(TO252-3);;2_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/99/3b/7d/91/91/51/4b/be/CD00000544.pdf/files/CD00000544.pdf/jcr:content/translations/en.CD00000544.pdf,497-1236-2-ND,LD1117DT33TR,STMicroelectronics,IC REG LINEAR 3.3V 800MA DPAK,0  Standard Lead Time 50 Weeks,$0.16368,2  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/renders/STMicro%20Renders/497;DPAK(TO252-3);;2_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/c4/0e/7e/2a/be/bc/4c/bd/CD00000546.pdf/files/CD00000546.pdf/jcr:content/translations/en.CD00000546.pdf,497-10197-2-ND,LF33CDT-TRY,STMicroelectronics,IC REG LINEAR 3.3V 500MA DPAK,0  Standard Lead Time 12 Weeks,$0.38192,2  500,Tape & Reel (TR)  Alternate Packaging,Automotive   AEC-Q100,Active
https://media.digikey.com/Renders/Texas%20Instr%20Renders/UA7812CKCSE3_tmb.jpg,http://www.ti.com/lit/ds/symlink/lm237.pdf,296-21574-5-ND,LM237KCSE3,Texas Instruments,IC REG LIN NEG ADJ 1.5A TO220-3,115 - Immediate,$1.05000,1,Tube,-,Active
https://media.digikey.com/Renders/Texas%20Instr%20Renders/TO-220-3_tmb.jpg,http://www.ti.com/lit/ds/symlink/lm2940-n.pdf,LM2940CT-12/NOPB-ND,LM2940CT-12/NOPB,Texas Instruments,IC REG LINEAR 12V 1A TO220-3,4  741 - Immediate,$1.53000,1,Tube,-,Active
https://media.digikey.com/Renders/On%20Semi%20Renders/8-SOIC_tmb.jpg,http://www.onsemi.com/pub/Collateral/LM317L-D.PDF,LM317LDGOS-ND,LM317LDG,ON Semiconductor,IC REG LIN POS ADJ 100MA 8SOIC,4  761 - Immediate,$0.39000,1,Tube  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Texas%20Instr%20Renders/TO-220-3_tmb.jpg,http://www.ti.com/lit/ds/symlink/lm137.pdf,LM337TNS/NOPB-ND,LM337T/NOPB,Texas Instruments,IC REG LIN NEG ADJ 1.5A TO220-3,4  098 - Immediate,$1.74000,1,Tube,-,Active
https://media.digikey.com/Renders/Texas%20Instr%20Renders/TO-220-3_tmb.jpg,http://www.ti.com/lit/ds/symlink/lm338.pdf,LM338T/NOPB-ND,LM338T/NOPB,Texas Instruments,IC REG LINEAR POS ADJ 5A TO220-3,2  629 - Immediate,$2.10000,1,Tube,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14PDIP_tmb.jpg,http://www.ti.com/lit/ds/symlink/lm723.pdf,LM723CNNS/NOPB-ND,LM723CN/NOPB,Texas Instruments,IC REG LIN POS ADJ 150MA 14DIP,0,$0.60990,-,Tube,-,Last Time Buy
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-252-3_tmb.jpg,http://www.ti.com/lit/ds/symlink/lp2950-n.pdf,LP2950CDTX-5.0/NOPBTR-ND,LP2950CDTX-5.0/NOPB,Texas Instruments,IC REG LINEAR 5V 100MA TO252-3,0  Standard Lead Time 16 Weeks,$0.48020,2  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG_tmb.jpg,http://www.ti.com/lit/ds/symlink/tps736.pdf,296-39487-2-ND,TPS73625DBVR,Texas Instruments,IC REG LINEAR 2.5V 400MA SOT23-5,0  Standard Lead Time 8 Weeks,$0.89100,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/On%20Semi%20Renders/8-SOIC_tmb.jpg,http://www.onsemi.com/pub/Collateral/MC78L00A-D.PDF,MC78L05ACDR2GOSTR-ND,MC78L05ACDR2G,ON Semiconductor,IC REG LINEAR 5V 100MA 8SOIC,0  Standard Lead Time 33 Weeks,$0.10963,2  500,Tape & Reel (TR)  Alternate Packaging,-,Active
