Positive,Fixed,1,9V,3.3V,-,0.7V @ 300mA,300mA,650µA,-,-,-,Over Current   Over Temperature,-30°C ~ 80°C,Through Hole,TO-226-3   TO-92-3 (TO-226AA) (Formed Leads),TO-92-3
Positive,Fixed,1,35V,5V,-,2V @ 1A (Typ),1.5A,8mA,-,62dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,D2PAK
Positive,Fixed,1,35V,5V,-,2V @ 1A (Typ),1.5A,8mA,-,62dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Through Hole,TO-220-3,TO-220AB
Positive,Fixed,1,40V,24V,-,2V @ 1A (Typ),1.5A,8mA,-,50dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Through Hole,TO-220-3,TO-220AB
Positive,Fixed,1,35V,5V,-,-,500mA,6mA,-,62dB (120Hz),-,Over Current   Over Temperature   Short Circuit,0°C ~ 150°C,Through Hole,TO-251-3 Short Leads   IPak   TO-251AA,IPAK (TO-251)
Positive,Fixed,1,35V,9V,-,-,500mA,6mA,-,56dB (120Hz),-,Over Current   Over Temperature   Short Circuit,0°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,35V,12V,-,-,500mA,6mA,-,55dB (120Hz),-,Over Current   Over Temperature   Short Circuit,0°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,30V,3.3V,-,1.5V @ 1.5A,1.5A,10mA,-,79dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,16V,3.3V,-,0.7V @ 500mA,500mA,1mA,12mA,80dB ~ 65dB (120Hz ~ 65dB),-,Over Current   Over Temperature,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220AB
Positive,Fixed,1,26V,5V,-,1V @ 1A,1A,15mA,60mA,72dB (120Hz),-,Over Temperature   Reverse Polarity   Short Circuit,0°C ~ 125°C,Through Hole,TO-220-3,TO-220-3
Positive,Adjustable,1,40V,1.2V,37V,-,500mA,-,-,80dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C (TJ),Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,TO-252   (D-Pak)
Positive,Adjustable,1,40V,1.2V,37V,-,1.5A,-,-,80dB ~ 65dB (120Hz),-,Over Current   Over Temperature,0°C ~ 125°C,Through Hole,TO-220-3,TO-220AB
Positive,Adjustable,1,16V,1V,5.5V,1.1V @ 800mA,800mA,1.5mA,15mA,60dB (1kHz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,8-PowerSOIC (0.154"   3.90mm Width),8-SO PowerPad
Positive,Fixed,1,7.5V,3.3V,-,1.5V @ 1.5A,1.5A,-,-,72dB (120Hz),-,Over Current   Over Temperature,25°C ~ 125°C,Surface Mount,TO-263-4   D²Pak (3 Leads + Tab)   TO-263AA,TO-263-3
Positive,Fixed,1,35V,6V,-,2V @ 1A (Typ),1.5A,8mA,-,59dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Through Hole,TO-220-3,TO-220-3
Positive,Fixed,1,35V,9V,-,2V @ 1A (Typ),1.5A,8mA,-,55dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Through Hole,TO-220-3,TO-220AB
Positive,Fixed,1,35V,12V,-,2V @ 1A (Typ),1.5A,8mA,-,55dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,D2PAK
Positive,Fixed,1,35V,12V,-,2V @ 1A (Typ),1.5A,8mA,-,55dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Through Hole,TO-220-3,TO-220AB
Positive,Fixed,1,35V,15V,-,2V @ 1A (Typ),1.5A,8mA,-,54dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Through Hole,TO-220-3,TO-220AB
