https://media.digikey.com/Renders/STMicro%20Renders/STM%208-SOIC_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/LCP1511D.pdf,497-2458-2-ND,LCP1511DRL,STMicroelectronics,THYRISTOR 30A 8SOIC,0,Obsolete,-,Tape & Reel (TR),LCP,Obsolete
https://media.digikey.com/Renders/Littelfuse%20Renders/DO-214AA  %20SMB;%202%20leads_tmb.jpg,http://www.littelfuse.com/~/media/electronics/datasheets/sidactors/littelfuse_sidactor_do_214_datasheet.pdf.pdf,P3100SBLRPTR-ND,P3100SBLRP,Littelfuse Inc.,SIDACTOR BI 275V 250A DO-214AA,5  000 - Immediate,$0.52780,2  500,Tape & Reel (TR)  Alternate Packaging,SIDACtor®,Active
https://media.digikey.com/Renders/Littelfuse%20Renders/DO-214AA  %20SMB;%202%20leads_tmb.jpg,http://www.littelfuse.com/~/media/electronics/datasheets/sidactors/littelfuse_sidactor_do_214_datasheet.pdf.pdf,P3100SCLRPTR-ND,P3100SCLRP,Littelfuse Inc.,SIDACTOR BI 275V 400A DO-214AA,0  Standard Lead Time 12 Weeks,$0.58800,2  500,Tape & Reel (TR)  Alternate Packaging,SIDACtor®,Active
https://media.digikey.com/Renders/Littelfuse%20Renders/DO-214AA  %20SMB;%202%20leads_tmb.jpg,http://www.littelfuse.com/~/media/electronics/datasheets/sidactors/littelfuse_sidactor_do_214_datasheet.pdf.pdf,P3100SCLRPTR-ND,P3100SCLRP,Littelfuse Inc.,SIDACTOR BI 275V 400A DO-214AA,0  Standard Lead Time 12 Weeks,$0.58800,2  500,Tape & Reel (TR)  Alternate Packaging,SIDACtor®,Active
https://media.digikey.com/Renders/Diodes%20Renders/DO-214AA_SMB_tmb.jpg,https://www.diodes.com/assets/Datasheets/ds30361.pdf,1034-TB3100M-FDITR-ND,TB3100M-13-F,Diodes Incorporated,THYRISTOR PROTECT BIDIR 50A SMB,3  000 - Immediate,$0.42000,3  000  Non-Stock,Tape & Reel (TR),-,Active
null,http://www.st.com/content/ccc/resource/technical/document/datasheet/c0/46/b5/d7/07/5a/4d/ca/CD00000865.pdf/files/CD00000865.pdf/jcr:content/translations/en.CD00000865.pdf,THBT20011DRL-ND,THBT20011DRL,STMicroelectronics,THYRISTOR 180V 30A 8-SOIC,0,$0.94635,2  500  Non-Stock,Tape & Reel (TR),THBT   TRISIL™,Active
https://media.digikey.com/Photos/Bourns%20Photos/LSPXXXXBJR-S_tmb.jpg,http://www.bourns.com/data/global/pdfs/TISP40xxH1BJ.pdf,TISP4040H1BJR-STR-ND,TISP4040H1BJR-S,Bourns Inc.,PROTECTOR SINGLE BIDIRECT 40V,6  000 - Immediate,$0.29000,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Photos/Bourns%20Photos/LSPXXXXBJR-S_tmb.jpg,http://www.bourns.com/docs/Product-Datasheets/TISP4xxxH3BJ.pdf,TISP4350H3BJR-STR-ND,TISP4350H3BJR-S,Bourns Inc.,PROTECTOR SINGLE BIDIRECT 350V,24  000 - Immediate,$0.35000,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Photos/Bourns%20Photos/LSPXXXXBJR-S_tmb.jpg,http://www.bourns.com/docs/Product-Datasheets/TISP4XX0T3BJ.pdf,TISP4350T3BJR-STR-ND,TISP4350T3BJR-S,Bourns Inc.,PROTECTOR SINGLE BIDIRECT 350V,3  000 - Immediate,$0.29000,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC_tmb.jpg,http://www.bourns.com/docs/Product-Datasheets/TISP61089B.pdf,TISP61089BDR-STR-ND,TISP61089BDR-S,Bourns Inc.,THYRISTOR 170V 30A 8SOIC,7  500 - Immediate,$0.56980,2  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC_tmb.jpg,http://www.bourns.com/docs/Product-Datasheets/TISP61521.pdf,TISP61521DR-STR-ND,TISP61521DR-S,Bourns Inc.,PROTECTOR OVER VOLTAGE 175V,0  Standard Lead Time 16 Weeks,$0.50820,2  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/STMicro%20Renders/STM%208-SOIC_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/57/b6/a1/a2/47/7e/40/db/CD00000834.pdf/files/CD00000834.pdf/jcr:content/translations/en.CD00000834.pdf,497-12724-2-ND,TPI12011NRL,STMicroelectronics,THYRISTOR 30A 8SOIC,0,$0.92812,2  500,Tape & Reel (TR)  Alternate Packaging,TPI,Active
https://media.digikey.com/Renders/STMicro%20Renders/STM%208-SOIC_tmb.jpg,http://www.st.com/content/ccc/resource/technical/document/datasheet/ba/b1/df/4f/49/4a/46/13/CD00000921.pdf/files/CD00000921.pdf/jcr:content/translations/en.CD00000921.pdf,497-12119-ND,TPN3021,STMicroelectronics,OVP TRIPOLAR NETWORK 28V 8-SOIC,2  000 - Immediate,$2.21000,1,Tube  Alternate Packaging,TPN   TRISIL™,Active
