-,-,-,-,30A,150mA,1,-,Surface Mount,8-SOIC (0.154"   3.90mm Width)
350V,275V,4V,250A,80A,150mA,1,45pF,Surface Mount,DO-214AA   SMB
350V,275V,4V,400A,100A,150mA,1,70pF,Surface Mount,DO-214AA   SMB
350V,275V,4V,400A,100A,150mA,1,70pF,Surface Mount,DO-214AA   SMB
350V,275V,3.5V,250A,50A,150mA,1,60pF,Surface Mount,DO-214AA   SMB
290V,180V,-,-,30A,150mA,3,80pF,Surface Mount,8-SOIC (0.154"   3.90mm Width)
40V,25V,3V,400A,100A,50mA,1,61pF,Surface Mount,DO-214AA   SMB
350V,275V,3V,300A,100A,150mA,1,62pF,Surface Mount,DO-214AA   SMB
350V,275V,3V,250A,80A,150mA,1,52pF,Surface Mount,DO-214AA   SMB
64V,170V,-,-,30A,150mA,2,100pF,Surface Mount,8-SOIC (0.154"   3.90mm Width)
-,175V,-,-,30A,150mA,2,100pF,Surface Mount,8-SOIC (0.154"   3.90mm Width)
160V,-,-,-,30A,150mA,1,-,Surface Mount,8-SOIC (0.154"   3.90mm Width)
38V,28V,-,100A,30A,30mA,3,16pF,Surface Mount,8-SOIC (0.154"   3.90mm Width)
