https://media.digikey.com/Renders/Texas%20Instr%20Renders/16-SOIC_(7.5mmwidth)_tmb.jpg,http://www.ti.com/lit/ds/symlink/iso5852s.pdf,296-45213-2-ND,ISO5852SDWR,Texas Instruments,DGTL ISO 5.7KV GATE DRVR 16SOIC,2  000 - Immediate,$2.75044,2  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Avago%20Tech%20Renders/8-SOIC_tmb.jpg,https://docs.broadcom.com/docs/AV01-0367EN,516-3744-2-ND,HCPL-0302-500E,Broadcom Limited,OPTOISO 3.75KV 1CH GATE DRVR 8SO,4  500 - Immediate,$0.78375,1  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP_tmb.jpg,https://docs.broadcom.com/docs/AV02-0161EN,516-1476-5-ND,HCPL-3120-000E,Broadcom Limited,OPTOISO 3.75KV 1CH GATE DVR 8DIP,4  765 - Immediate,$3.15000,1,Tube,-,Active
https://media.digikey.com/Renders/Avago%20Tech%20Renders/16-SOIC_tmb.JPG,https://docs.broadcom.com/docs/AV02-0717EN,516-1777-2-ND,HCPL-316J-500E,Broadcom Limited,OPTOISO 5KV 2CH GATE DRIVER 16SO,850 - Immediate,$3.10800,850,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/photos/Fairchild%20Semi%20Photos/46-8-DIP-SMD_tmb.jpg,http://www.onsemi.com/pub/Collateral/FOD3180-D.pdf,FOD3180SDVTR-ND,FOD3180SDV,ON Semiconductor,OPTOISO 5KV 1CH GATE DRIVER 8SMD,9  000 - Immediate  10  000 - Factory Stock,$1.22513,1  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD_tmb.jpg,https://docs.broadcom.com/docs/AV02-0161EN,516-2381-5-ND,HCNW3120-300E,Broadcom Limited,OPTOISO 5KV GATE DRIVER 8DIP GW,1  189 - Immediate,$4.56000,1,Tube  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Avago%20Tech%20Renders/8-SOIC_tmb.jpg,https://docs.broadcom.com/docs/AV02-0162EN,516-3745-2-ND,HCPL-0314-500E,Broadcom Limited,OPTOISO 3.75KV 1CH GATE DRVR 8SO,0  Standard Lead Time 12 Weeks,$0.99000,1  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD_tmb.jpg,https://docs.broadcom.com/docs/AV01-0367EN,516-3209-2-ND,HCPL-3020-500E,Broadcom Limited,OPTOISO 3.75KV GATE DRVR 8DIP GW,4  000 - Immediate,$0.78375,1  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD_tmb.jpg,https://docs.broadcom.com/docs/AV02-0161EN,516-1544-5-ND,HCPL-3120-300E,Broadcom Limited,OPTOISO 3.75KV GATE DRVR 8DIP GW,11  636 - Immediate,$3.22000,1,Tube  Alternate Packaging,-,Active
https://media.digikey.com/Photos/Avago%20Tech%20Photos/HCPL-314J-000E_tmb.JPG,https://docs.broadcom.com/docs/AV02-0169EN,516-1477-5-ND,HCPL-314J-000E,Broadcom Limited,OPTOISO 5KV 2CH GATE DRIVER 16SO,5  531 - Immediate,$4.35000,1,Tube  Alternate Packaging,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP_tmb.jpg,https://docs.broadcom.com/docs/AV02-0164EN,516-1742-5-ND,HCPL-3150-000E,Broadcom Limited,OPTOISO 3.75KV 1CH GATE DVR 8DIP,2  240 - Immediate,$2.80000,1,Tube,-,Active
https://media.digikey.com/photos/Avago%20Tech%20Photos/HCPL-315J-000E_tmb.JPG,https://docs.broadcom.com/docs/AV02-0164EN,516-1673-5-ND,HCPL-315J-000E,Broadcom Limited,OPTOISO 5KV 2CH GATE DRIVER 16SO,1  031 - Immediate,$6.60000,1,Tube,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP_tmb.jpg,https://docs.broadcom.com/docs/AV02-0155EN,516-3746-ND,HCPL-J314-000E,Broadcom Limited,OPTOISO 3.75KV 1CH GATE DVR 8DIP,2  965 - Immediate,$2.80000,1,Tube,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Sharp%20PDFs/PC923L0xSZ0F.pdf,PC923L0YSZ0F-ND,PC923L0YSZ0F,Sharp Microelectronics,OPTOISO 5KV 1CH GATE DRIVER 8DIP,0,Obsolete,-,Tube,OPIC™,Obsolete
null,https://media.digikey.com/pdf/Data%20Sheets/Sharp%20PDFs/PC924L0NSZ0F.pdf,425-2878-2-ND,PC925L0NIP0F,Sharp Microelectronics,OPTOISO 5KV 1CH GATE DRIVER 8SMD,0,Obsolete,-,Tape & Reel (TR),OPIC™,Obsolete
null,https://media.digikey.com/pdf/Data%20Sheets/Sharp%20PDFs/PC929%20Series.pdf,425-1544-5-ND,PC929,Sharp Microelectronics,OPTOISO 4KV 1CH GATE DRVR 14SMT,0,Obsolete,-,Tube,OPIC™,Obsolete
https://media.digikey.com/Photos/Toshiba%20Photos/TLP116A(E)_tmb.jpg,https://toshiba.semicon-storage.com/info/docget.jsp?did=6506&prodName=TLP155E,TLP155E(TPLE)TR-ND,TLP155E(TPL  E),Toshiba Semiconductor and Storage,OPTOISO 3.75KV GATE DRIVER 6SO-5,6  000 - Immediate,$0.36960,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Toshiba%20Renders/264;-11-10C4S;-;-8_tmb.jpg,https://toshiba.semicon-storage.com/info/docget.jsp?did=6217&prodName=TLP350,TLP350F-ND,TLP350(F),Toshiba Semiconductor and Storage,OPTOISO 3.75KV 1CH GATE DVR 8DIP,2  491 - Immediate,$2.12000,1,Tube,-,Active
https://media.digikey.com/Renders/Toshiba%20Renders/264;-11-10C4S;-;-8_tmb.jpg,https://toshiba.semicon-storage.com/info/docget.jsp?did=16841&prodName=TLP351,TLP351F-ND,TLP351(F),Toshiba Semiconductor and Storage,OPTOISO 3.75KV 1CH GATE DVR 8DIP,3  375 - Immediate,$1.85000,1,Tube,-,Active
https://media.digikey.com/Renders/Toshiba%20Renders/264;11-10C401S;;8_tmb.jpg,https://toshiba.semicon-storage.com/info/docget.jsp?did=12756&prodName=TLP352,TLP352(TP1F)TR-ND,TLP352(TP1  F),Toshiba Semiconductor and Storage,OPTOISO 3.75KV 1CH GATE DVR 8SMD,4  500 - Immediate,$0.75460,1  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Photos/Toshiba%20Photos/TLP718(F)_tmb.jpg,https://toshiba.semicon-storage.com/info/docget.jsp?did=1642&prodName=TLP701,TLP701FTR-ND,TLP701(TP  F),Toshiba Semiconductor and Storage,OPTOISO 5KV GATE DRIVER 6SDIP GW,1  500 - Immediate,$0.75625,1  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Photos/Toshiba%20Photos/TLP718(F)_tmb.jpg,https://toshiba.semicon-storage.com/info/docget.jsp?did=12995&prodName=TLP705A,TLP705A(F)-ND,TLP705A(F),Toshiba Semiconductor and Storage,OPTOISO 5KV GATE DRIVER 6SDIP GW,700 - Immediate,$1.63000,1,Tube,-,Active
https://media.digikey.com/photos/Fairchild%20Semi%20Photos/46-8-DIP-SMD_tmb.jpg,http://www.onsemi.com/pub/Collateral/FOD3182-D.pdf,FOD3182S-ND,FOD3182S,ON Semiconductor,OPTOISO 5KV 1CH GATE DRIVER 8SMD,3  616 - Immediate,$2.70000,1,Tube  Alternate Packaging,-,Active
