https://media.digikey.com/photos/Clare%20Photos/212-8-SMD_tmb.jpg,http://www.ixysic.com/home/pdfs.nsf/0/6C6B20D3E493C49985256A2C00697D43/$file/Lda210.pdf,CLA258TR-ND,LDA210STR,IXYS Integrated Circuits Division,OPTOISO 3.75KV 2CH DARLNG 8SMD,0  Standard Lead Time 5 Weeks,$0.81125,1  000  Non-Stock,Tape & Reel (TR),-,Active
https://media.digikey.com/photos/International%20Rectifier%20Photos/21-8-DIP-SMD%20PVT_tmb.jpg,https://www.infineon.com/dgdl/Infineon-PVI1050N-DS-v01_00-EN.pdf?fileId=5546d462602a9dc801607b6ff00c5cca,PVI1050NSPBF-ND,PVI1050NSPBF,Infineon Technologies,OPTOISO 2.5KV 2CH PHVOLT 8-SMT,2  398 - Immediate,$10.96000,1,Tube  Alternate Packaging,PVI,Active
https://media.digikey.com/photos/Fairchild%20Semi%20Photos/46-6-DIP%20WHITE_tmb.jpg,http://www.onsemi.com/pub/Collateral/4N37M-D.pdf,4N26MFS-ND,4N26M,ON Semiconductor,OPTOISO 4.17KV TRANS W/BASE 6DIP,5  104 - Immediate  6  000 - Factory Stock,$0.67000,1,Tube,-,Active
https://media.digikey.com/Photos/Everlight%20Electronics/MFG_EL817-Series_4-SMD  Gull-Wing_tmb.jpg,http://www.everlight.com/file/ProductFile/201407061834389632.pdf,EL817(S)(TU)-G-ND,EL817(S)(TU)-G,Everlight Electronics Co Ltd,OPTOISOLTR 5KV TRANSISTOR 4-SMD,0  Standard Lead Time 20 Weeks,$0.11100,1  500  Non-Stock,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/16-SSOP_tmb.jpg,http://www.cel.com/pdf/datasheets/PS2801C-1  PS2801C-4.pdf,PS2801C-4-F3-ATR-ND,PS2801C-4-F3-A,CEL,OPTOISO 2.5KV 4CH TRANS 16-SSOP,15  000 - Immediate,$0.88400,2  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/photos/Fairchild%20Semi%20Photos/46-6-DIP%20WHITE_tmb.jpg,http://www.onsemi.com/pub/Collateral/4N37M-D.pdf,4N25MFS-ND,4N25M,ON Semiconductor,OPTOISO 4.17KV TRANS W/BASE 6DIP,9  615 - Immediate,$0.67000,1,Tube,-,Active
https://media.digikey.com/photos/Fairchild%20Semi%20Photos/4N27M_tmb.JPG,http://www.onsemi.com/pub/Collateral/4N37M-D.pdf,4N27MFS-ND,4N27M,ON Semiconductor,OPTOISO 4.17KV TRANS W/BASE 6DIP,2  895 - Immediate,$0.67000,1,Tube,-,Active
https://media.digikey.com/Photos/Fairchild%20Optoelectronics/6-DIP%20WHITE_tmb.jpg,http://www.onsemi.com/pub/Collateral/4N37M-D.pdf,4N28MFS-ND,4N28M,ON Semiconductor,OPTOISO 4.17KV TRANS W/BASE 6DIP,2  312 - Immediate,$0.67000,1,Tube,-,Active
https://media.digikey.com/photos/Fairchild%20Semi%20Photos/4N33M_tmb.JPG,http://www.onsemi.com/pub/Collateral/TIL113M-D.pdf,4N33M-ND,4N33M,ON Semiconductor,OPTOISO 4.17KV DARL W/BASE 6DIP,17  028 - Immediate,$0.75000,1,Tube,-,Active
https://media.digikey.com/photos/Fairchild%20Semi%20Photos/46-6-DIP%20WHITE_tmb.jpg,http://www.onsemi.com/pub/Collateral/4N37M-D.pdf,4N35MFS-ND,4N35M,ON Semiconductor,OPTOISO 4.17KV TRANS W/BASE 6DIP,8  787 - Immediate,$0.67000,1,Tube,-,Active
