TxRx + MCU,802.15.4,6LoWPAN   Zigbee®,O-QPSK,2.4GHz,2Mbps,3.5dBm,-100dBm,128kB Flash   4kB EEPROM   16kB SRAM,I²C   JTAG   SPI   USART,38,1.8 V ~ 3.6 V,12mA ~ 12.5mA,8mA ~ 14.5mA,-40°C ~ 85°C,64-VFQFN Exposed Pad
TxRx + MCU,802.15.4,Zigbee®,O-QPSK,2.4GHz,2Mbps,3.5dBm,-100dBm,256kB Flash   8kB EEPROM   32kB SRAM,I²C   JTAG   SPI   USART,32,1.8 V ~ 3.6 V,5mA ~ 12.5mA,8mA ~ 14.5mA,-40°C ~ 125°C,48-VFQFN Exposed Pad
TxRx + MCU,802.15.4,Zigbee®,DSSS   O-QPSK,2.4GHz,2Mbps,3.5dBm,-100dBm,256kB Flash   8kB EEPROM   32kB SRAM,I²C   JTAG   SPI   USART,35,1.8 V ~ 3.6 V,5mA ~ 12.5mA,8mA ~ 14.5mA,-40°C ~ 85°C,64-VFQFN Exposed Pad
TxRx + MCU,General ISM < 1GHz,-,2FSK   ASK   GFSK   MSK   OOK,300MHz ~ 348MHz   391MHz ~ 464MHz   782MHz ~ 928MHz,500kBaud,10dBm,-112dBm,32kB Flash   4kB SRAM,I²S   USART,21,2 V ~ 3.6 V,16.2mA ~ 21.5mA,18mA ~ 36.2mA,-40°C ~ 85°C,36-QFN
TxRx + MCU,General ISM < 1GHz,-,2FSK   ASK   GFSK   MSK   OOK,300MHz ~ 348MHz   391MHz ~ 464MHz   782MHz ~ 928MHz,500kBaud,10dBm,-112dBm,8kB Flash   1kB SRAM,I²S   USART,21,2 V ~ 3.6 V,16.2mA ~ 21.5mA,18mA ~ 36.2mA,-40°C ~ 85°C,36-VFQFN Exposed Pad
TxRx + MCU,General ISM < 1GHz,-,DSSS   GFSK,300MHz ~ 930MHz,50kbps,14dBm,-124dBm,128kB Flash   20kB RAM,I²C   I²S   JTAG   SPI   UART,30,1.8 V ~ 3.8 V,5.5mA,12.9mA ~ 22.6mA,-40°C ~ 85°C,48-VFQFN Exposed Pad
TxRx Only,802.15.4,Zigbee®,DSSS   O-QPSK,2.4GHz,250kbps,0dBm,-95dBm,-,SPI,-,2.1 V ~ 3.6 V,18.8mA,8.5mA ~ 17.4mA,-40°C ~ 85°C,48-VFQFN Exposed Pad
TxRx Only,General ISM > 1GHZ,-,2FSK   GFSK   MSK   OOK,2.4GHz,500kBaud,1dBm,-104dBm,-,SPI,-,1.8 V ~ 3.6 V,13.3mA ~ 19.6mA,11.1mA ~ 21.5mA,-40°C ~ 85°C,20-VFQFN Exposed Pad
TxRx + MCU,General ISM > 1GHZ,-,2FSK   GFSK   MSK,2.4GHz,500kBaud,1dBm,-103dBm,32kB Flash   4kB SRAM,I²S   SPI   USART   USB,19,3 V ~ 3.6 V,14.7mA ~ 22.9mA,15.5mA ~ 26mA,0°C ~ 85°C,36-VFQFN Exposed Pad
TxRx + MCU,802.15.4,Zigbee®,DSSS   O-QPSK,2.4GHz,250kbps,5dBm,-98dBm,768B RAM,SPI,6,1.8 V ~ 3.8 V,18.5mA ~ 22.3mA,25.8mA ~ 33.6mA,-40°C ~ 125°C,28-VFQFN Exposed Pad
