N-Channel,MOSFET (Metal Oxide),100V,5A (Ta)   32A (Tc),4.5V   10V,2.7V @ 250µA,44nC @ 10V,±20V,2000pF @ 50V,-,2.5W (Ta)   100W (Tc),37 mOhm @ 10A   10V,-55°C ~ 175°C (TJ),Surface Mount,TO-252   (D-Pak),TO-252-3   DPak (2 Leads + Tab)   SC-63
N-Channel,MOSFET (Metal Oxide),60V,500mA (Ta),10V,3V @ 1mA,-,±20V,40pF @ 10V,-,830mW (Ta),5 Ohm @ 200mA   10V,-55°C ~ 150°C (TJ),Through Hole,TO-92-3,TO-226-3   TO-92-3 (TO-226AA) (Formed Leads)
N-Channel,MOSFET (Metal Oxide),60V,1.8A (Ta),4.5V   10V,1.8V @ 400µA,17nC @ 10V,±20V,368pF @ 25V,-,1.8W (Ta),300 mOhm @ 1.8A   10V,-55°C ~ 150°C (TJ),Surface Mount,PG-SOT223-4,TO-261-4   TO-261AA
P-Channel,MOSFET (Metal Oxide),20V,13.5A (Ta),1.8V   4.5V,1.5V @ 250µA,120nC @ 4.5V,±8V,8237pF @ 10V,-,2.5W (Ta),8.5 mOhm @ 13.5A   4.5V,-55°C ~ 175°C (TJ),Surface Mount,8-SO,8-SOIC (0.154"   3.90mm Width)
P-Channel,MOSFET (Metal Oxide),30V,2A (Ta),4.5V   10V,3V @ 250µA,9nC @ 10V,±20V,298pF @ 15V,-,500mW (Ta),80 mOhm @ 2A   10V,-55°C ~ 150°C (TJ),Surface Mount,SuperSOT-3,TO-236-3   SC-59   SOT-23-3
N-Channel,MOSFET (Metal Oxide),60V,50A (Tc),10V,4V @ 250µA,41nC @ 10V,±25V,1540pF @ 25V,-,120W (Tc),22 mOhm @ 25A   10V,-55°C ~ 175°C (TJ),Through Hole,TO-220-3,TO-220-3
N-Channel,MOSFET (Metal Oxide),75V,82A (Tc),10V,4V @ 250µA,160nC @ 10V,±20V,3820pF @ 25V,-,230W (Tc),13 mOhm @ 43A   10V,-55°C ~ 175°C (TJ),Through Hole,TO-220AB,TO-220-3
N-Channel,MOSFET (Metal Oxide),500V,20A (Tc),10V,4V @ 250µA,105nC @ 10V,±30V,3100pF @ 25V,-,280W (Tc),270 mOhm @ 12A   10V,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,TO-247-3
P-Channel,MOSFET (Metal Oxide),20V,3.7A (Ta),2.5V   4.5V,1.2V @ 250µA,12nC @ 5V,±12V,633pF @ 10V,-,1.3W (Ta),65 mOhm @ 3.7A   4.5V,-55°C ~ 150°C (TJ),Surface Mount,Micro3™/SOT-23,TO-236-3   SC-59   SOT-23-3
N-Channel,MOSFET (Metal Oxide),60V,500mA (Ta),10V,3V @ 1mA,-,±20V,60pF @ 10V,-,225mW (Ta),5 Ohm @ 200mA   10V,-55°C ~ 150°C (TJ),Surface Mount,SOT-23-3 (TO-236),TO-236-3   SC-59   SOT-23-3
N-Channel,MOSFET (Metal Oxide),650V,3.2A (Tc),10V,3.9V @ 135µA,17nC @ 10V,±20V,400pF @ 25V,-,38W (Tc),1.4 Ohm @ 2A   10V,-55°C ~ 150°C (TJ),Surface Mount,PG-TO252-3,TO-252-3   DPak (2 Leads + Tab)   SC-63
N-Channel,MOSFET (Metal Oxide),100V,120A (Tc),10V,4.5V @ 250µA,210nC @ 10V,±20V,15265pF @ 25V,-,375W (Tc),4.7 mOhm @ 75A   10V,-55°C ~ 175°C (TJ),Surface Mount,D²PAK,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB
N-Channel,MOSFET (Metal Oxide),150V,8A (Ta)   79A (Tc),6V   10V,4V @ 250µA,107nC @ 10V,±20V,5870pF @ 25V,-,310W (Tc),16 mOhm @ 33A   10V,-55°C ~ 175°C (TJ),Surface Mount,D²PAK,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB
N-Channel,MOSFET (Metal Oxide),200V,62A (Tc),10V,5V @ 250µA,99nC @ 10V,±30V,7230pF @ 25V,-,260W (Tc),27 mOhm @ 31A   10V,-55°C ~ 150°C (TJ),Surface Mount,D²PAK,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB
N-Channel,MOSFET (Metal Oxide),150V,35A (Tc),10V,4V @ 250µA,36nC @ 10V,±20V,2040pF @ 25V,-,150W (Tc),42 mOhm @ 12A   10V,-55°C ~ 175°C (TJ),Surface Mount,D²PAK (TO-263),TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB
P-Channel,MOSFET (Metal Oxide),60V,3A (Ta),4.5V   10V,3V @ 250µA,24nC @ 10V,±20V,759pF @ 30V,-,1.6W (Ta),105 mOhm @ 3A   10V,-55°C ~ 150°C (TJ),Surface Mount,SuperSOT™-6,SOT-23-6 Thin   TSOT-23-6
N-Channel,MOSFET (Metal Oxide),30V,5.5A (Ta),4.5V   10V,2V @ 250µA,21nC @ 4.5V,±12V,1460pF @ 15V,-,1.6W (Ta),26 mOhm @ 6.2A   10V,-55°C ~ 150°C (TJ),Surface Mount,SuperSOT™-6,SOT-23-6 Thin   TSOT-23-6
N-Channel,MOSFET (Metal Oxide),30V,21A (Ta),4.5V   10V,3V @ 250µA,7nC @ 5V,±20V,462pF @ 15V,-,28W (Ta),35 mOhm @ 7.6A   10V,-55°C ~ 175°C (TJ),Surface Mount,TO-252,TO-252-3   DPak (2 Leads + Tab)   SC-63
