P-Channel,20V,20V,300mA @ 10V,-,8V @ 10µA,32pF @ 10V,-,360mW,-65°C ~ 150°C (TJ),Through Hole,TO-226-3   TO-92-3 (TO-226AA),TO-92
P-Channel,40V,-,1mA @ 15V,-,750mV @ 1µA,7pF @ 15V,-,350mW,-65°C ~ 135°C (TJ),Through Hole,TO-226-3   TO-92-3 (TO-226AA),TO-92-3
N-Channel,30V,30V,25mA @ 15V,-,2V @ 10nA,14pF @ 15V,60 Ohms,225mW,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3 (TO-236)
N-Channel,30V,30V,50mA @ 15V,-,4V @ 10nA,14pF @ 15V,30 Ohms,225mW,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3 (TO-236)
N-Channel,30V,30V,5mA @ 15V,-,500mV @ 10nA,14pF @ 15V,100 Ohms,225mW,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3 (TO-236)
P-Channel,40V,-,1mA @ 15V,-,750mV @ 1µA,7pF @ 15V,-,225mW,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3
N-Channel,35V,-,5mA @ 15V,-,1V @ 1µA,-,50 Ohms,350mW,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3
P-Channel,30V,-,7mA @ 15V,-,3V @ 10nA,11pF @ 10V (VGS),125 Ohms,225mW,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3 (TO-236)
P-Channel,30V,-,2mA @ 15V,-,1V @ 10nA,-,250 Ohms,225mW,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3
P-Channel,30V,-,2mA @ 15V,-,500mV @ 1nA,-,-,225mW,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3
-,-,-,-,-,-,-,-,-,-,-,-,-
N-Channel,40V,-,5mA @ 20V,-,500mV @ 1nA,14pF @ 20V,100 Ohms,1.8W,-65°C ~ 175°C (TJ),Through Hole,TO-206AA   TO-18-3 Metal Can,TO-18
N-Channel,35V,35V,15mA @ 15V,-,6V @ 1nA,4pF @ 15V,-,300mW,-,Surface Mount,4-SMD   No Lead,4-SMD
N-Channel,40V,40V,175mA @ 15V,-,10V @ 500pA,18pF @ 10V,25 Ohms,360mW,-65°C ~ 200°C (TJ),Through Hole,TO-206AA   TO-18-3 Metal Can,TO-18
N-Channel,40V,-,8mA @ 15V,-,800mV @ 0.5nA,10pF @ 10V (VGS),60 Ohms,360mW,-65°C ~ 200°C (TJ),Through Hole,TO-206AA   TO-18-3 Metal Can,TO-18
P-Channel,30V,30V,60mA @ 15V,-,6V @ 1nA,25pF @ 15V,100 Ohms,500mW,-65°C ~ 200°C (TJ),Through Hole,TO-206AA   TO-18-3 Metal Can,TO-18 (TO-206AA)
P-Channel,30V,-,5mA @ 15V,-,1V @ 1nA,25pF @ 15V,150 Ohms,500mW,-65°C ~ 200°C (TJ),Through Hole,TO-206AA   TO-18-3 Metal Can,TO-18
N-Channel,25V,-,4mA @ 15V,-,2V @ 10nA,7pF @ 15V,-,625mW,-55°C ~ 150°C (TJ),Through Hole,TO-226-3   TO-92-3 (TO-226AA),TO-92-3
P-Channel,40V,-,2mA @ 15V,-,1V @ 1µA,7pF @ 15V,-,350mW,-65°C ~ 135°C (TJ),Through Hole,TO-226-3   TO-92-3 (TO-226AA),TO-92-3
N-Channel,50V,-,1.2mA @ 10V,-,1.5V @ 100nA,13pF @ 10V,-,100mW,125°C (TJ),Surface Mount,SC-70   SOT-323,USM
N-Channel,25V,-,30mA @ 15V,-,600mV @ 100nA,-,-,350mW,-55°C ~ 150°C (TJ),Through Hole,TO-226-3   TO-92-3 (TO-226AA),TO-92-3
N-Channel,-,25V,1mA @ 10V,10mA,2.5V @ 0.5nA,4pF @ 10V,-,250mW,150°C (TJ),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23 (TO-236AB)
N-Channel,-,25V,200µA @ 10V,10mA,1.2V @ 0.5nA,5pF @ 10V,-,250mW,150°C (TJ),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23 (TO-236AB)
N-Channel,40V,-,50mA @ 15V,-,4V @ 0.5nA,-,25 Ohms,250mW,150°C (TJ),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3
